Dependency=Location Census Division	Dependency=Vintage	Dependency=Geometry Building Type	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Count	Weight
New England	<1950	Single Family Detached	0.31158249	0.421879228	0.143941505	0.122596777	345	1076862.036
New England	1950s	Single Family Detached	0.33573125	0.425220498	0.162580811	0.076467441	196	594973.3628
New England	1960s	Single Family Detached	0.278970762	0.450633926	0.202318152	0.068077161	132	419898.7454
New England	1970s	Single Family Detached	0.206853057	0.47543425	0.2248195	0.092893192	141	461365.1869
New England	1980s	Single Family Detached	0.19186646	0.430730534	0.2575399	0.119863107	124	362995.7046
New England	1990s	Single Family Detached	0.135136552	0.561381023	0.196827591	0.106654834	115	268440.268
New England	2000s	Single Family Detached	0.157834362	0.358809618	0.32572008	0.157635941	110	273371.8945
East North Central	<1950	Single Family Detached	0.423288851	0.392021309	0.129885261	0.054804578	1858	3242711.072
East North Central	1950s	Single Family Detached	0.534226434	0.341597551	0.079751936	0.044424079	1275	1731799.578
East North Central	1960s	Single Family Detached	0.400607546	0.435674856	0.114010377	0.049707221	965	1430458.967
East North Central	1970s	Single Family Detached	0.290015463	0.471611898	0.165537149	0.07283549	1082	1744081.996
East North Central	1980s	Single Family Detached	0.19021992	0.439739905	0.244829258	0.125210917	514	811543.6762
East North Central	1990s	Single Family Detached	0.142144331	0.442402363	0.248929082	0.166524225	849	1275247.089
East North Central	2000s	Single Family Detached	0.123319001	0.447567652	0.226718869	0.202394478	731	1293402.917
Middle Atlantic	<1950	Single Family Detached	0.298907923	0.449511509	0.142442773	0.109137795	1494	2407973.934
Middle Atlantic	1950s	Single Family Detached	0.38871334	0.439457604	0.117133037	0.05469602	889	1141118.195
Middle Atlantic	1960s	Single Family Detached	0.258379331	0.460750509	0.184998572	0.095871588	654	853581.5557
Middle Atlantic	1970s	Single Family Detached	0.22350575	0.524158819	0.177673324	0.074662107	601	867070.4948
Middle Atlantic	1980s	Single Family Detached	0.186064738	0.395768061	0.287200112	0.130967089	445	561287.6294
Middle Atlantic	1990s	Single Family Detached	0.122005649	0.396457767	0.31697368	0.164562904	477	554895.3598
Middle Atlantic	2000s	Single Family Detached	0.09155765	0.371631012	0.333162136	0.203649202	392	553007.47
Mountain - Pacific	<1950	Single Family Detached	0.542600876	0.316520184	0.088189953	0.052688987	992	2542537.426
Mountain - Pacific	1950s	Single Family Detached	0.49914093	0.399163958	0.068049144	0.033645967	732	1879119.095
Mountain - Pacific	1960s	Single Family Detached	0.345783143	0.487966945	0.128828723	0.037421189	716	1851519.067
Mountain - Pacific	1970s	Single Family Detached	0.267910835	0.508929653	0.17005199	0.053107522	1002	2621054.722
Mountain - Pacific	1980s	Single Family Detached	0.252431654	0.497131575	0.172979752	0.077457019	658	1719450.491
Mountain - Pacific	1990s	Single Family Detached	0.175735717	0.536381882	0.188488901	0.099393499	876	2107768.507
Mountain - Pacific	2000s	Single Family Detached	0.15890976	0.460878988	0.23223087	0.147980382	1010	2800355.267
South Atlantic - East South Central	<1950	Single Family Detached	0.456835753	0.380861016	0.101487936	0.060815295	924	2401684.51
South Atlantic - East South Central	1950s	Single Family Detached	0.458844713	0.392237571	0.09874936	0.050168356	732	1889128.621
South Atlantic - East South Central	1960s	Single Family Detached	0.401967143	0.44564487	0.107263236	0.04512475	909	2355550.972
South Atlantic - East South Central	1970s	Single Family Detached	0.306942088	0.457362401	0.160813178	0.074882333	1252	3280482.374
South Atlantic - East South Central	1980s	Single Family Detached	0.273902317	0.464176626	0.180167023	0.081754035	953	2357863.17
South Atlantic - East South Central	1990s	Single Family Detached	0.177856863	0.470994343	0.227885245	0.123263549	1140	2768068.499
