Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4+	Option=None	Count	Weight
Mobile Home	<1950	0-1499	0	0	0	0	1	3	20739.18705
Mobile Home	<1950	1500-2499						0	0
Mobile Home	<1950	2500-3499						0	0
Mobile Home	<1950	3500+						0	0
Mobile Home	1950s	0-1499	0	0	0	0	1	12	146802.9162
Mobile Home	1950s	1500-2499						0	0
Mobile Home	1950s	2500-3499						0	0
Mobile Home	1950s	3500+						0	0
Mobile Home	1960s	0-1499	0	0	0	0	1	33	332831.0494
Mobile Home	1960s	1500-2499	0	0	0	0	1	2	23883.72212
Mobile Home	1960s	2500-3499						0	0
Mobile Home	1960s	3500+						0	0
Mobile Home	1970s	0-1499	0	0	0	0	1	143	1669181.4
Mobile Home	1970s	1500-2499	0	0	0	0	1	9	100574.8414
Mobile Home	1970s	2500-3499						0	0
Mobile Home	1970s	3500+						0	0
Mobile Home	1980s	0-1499	0	0	0	0	1	122	1680231.102
Mobile Home	1980s	1500-2499	0	0	0	0	1	8	86169.83963
Mobile Home	1980s	2500-3499						0	0
Mobile Home	1980s	3500+						0	0
Mobile Home	1990s	0-1499	0	0	0	0	1	110	1522099.407
Mobile Home	1990s	1500-2499	0	0	0	0	1	30	429277.3834
Mobile Home	1990s	2500-3499	0	0	0	0	1	2	12732.06207
Mobile Home	1990s	3500+						0	0
Mobile Home	2000s	0-1499	0	0	0	0	1	50	659522.0438
Mobile Home	2000s	1500-2499	0	0	0	0	1	17	256916.3144
Mobile Home	2000s	2500-3499						0	0
Mobile Home	2000s	3500+						0	0
Multi-Family with 2 - 4 Units	<1950	0-1499	0	0	0	0	1	249	2524345.215
Multi-Family with 2 - 4 Units	<1950	1500-2499	0	0	0	0	1	26	248308.1933
Multi-Family with 2 - 4 Units	<1950	2500-3499	0	0	0	0	1	11	109019.0241
Multi-Family with 2 - 4 Units	<1950	3500+	0	0	0	0	1	2	11834.51582
Multi-Family with 2 - 4 Units	1950s	0-1499	0	0	0	0	1	105	1039648.154
Multi-Family with 2 - 4 Units	1950s	1500-2499	0	0	0	0	1	10	125931.7282
Multi-Family with 2 - 4 Units	1950s	2500-3499	0	0	0	0	1	1	37321.43949
Multi-Family with 2 - 4 Units	1950s	3500+						0	0
Multi-Family with 2 - 4 Units	1960s	0-1499	0	0	0	0	1	101	1067688.883
Multi-Family with 2 - 4 Units	1960s	1500-2499	0	0	0	0	1	8	86587.88427
Multi-Family with 2 - 4 Units	1960s	2500-3499						0	0
Multi-Family with 2 - 4 Units	1960s	3500+						0	0
Multi-Family with 2 - 4 Units	1970s	0-1499	0	0	0	0	1	162	1450731.379
Multi-Family with 2 - 4 Units	1970s	1500-2499	0	0	0	0	1	9	78781.61249
Multi-Family with 2 - 4 Units	1970s	2500-3499	0	0	0	0	1	1	8878.279956
Multi-Family with 2 - 4 Units	1970s	3500+						0	0
Multi-Family with 2 - 4 Units	1980s	0-1499	0	0	0	0	1	111	1053118.999
Multi-Family with 2 - 4 Units	1980s	1500-2499	0	0	0	0	1	5	32756.53365
Multi-Family with 2 - 4 Units	1980s	2500-3499						0	0
Multi-Family with 2 - 4 Units	1980s	3500+						0	0
Multi-Family with 2 - 4 Units	1990s	0-1499	0	0	0	0	1	72	737677.3671
