Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Mobile Home	Option=Multifamily with 2-4 Units	Option=Multifamily with 5+ units, 1-3 stories	Option=Multifamily with 5+ units, 4-7 stories	Option=Multifamily with 5+ units, 8+ stories	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
Mobile Home	1	1	0	0	0	0	0	0	533	6.84207e+06	0.0603164
Mobile Home	2	1	0	0	0	0	0	0	0	0	0
Mobile Home	3	1	0	0	0	0	0	0	0	0	0
Mobile Home	4	1	0	0	0	0	0	0	0	0	0
Mobile Home	5	1	0	0	0	0	0	0	0	0	0
Mobile Home	6	1	0	0	0	0	0	0	0	0	0
Mobile Home	7	1	0	0	0	0	0	0	0	0	0
Mobile Home	8	1	0	0	0	0	0	0	0	0	0
Mobile Home	9	1	0	0	0	0	0	0	0	0	0
Mobile Home	10	1	0	0	0	0	0	0	0	0	0
Mobile Home	11	1	0	0	0	0	0	0	0	0	0
Mobile Home	12	1	0	0	0	0	0	0	0	0	0
Mobile Home	13	1	0	0	0	0	0	0	0	0	0
Mobile Home	14	1	0	0	0	0	0	0	0	0	0
Mobile Home	15	1	0	0	0	0	0	0	0	0	0
Mobile Home	20	1	0	0	0	0	0	0	0	0	0
Mobile Home	21	1	0	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	1	0	1	0	0	0	0	0	0	0	0.0127568
Multi-Family with 2 - 4 Units	2	0	1	0	0	0	0	0	0	0	0.0528472
Multi-Family with 2 - 4 Units	3	0	1	0	0	0	0	0	0	0	0.0110436
Multi-Family with 2 - 4 Units	4	0	1	0	0	0	0	0	0	0	0.00200565
Multi-Family with 2 - 4 Units	5	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	6	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	7	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	8	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	9	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	10	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	11	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	12	0	1	0	0	0	0	0	0	0	0
Multi-Family with 2 - 4 Units	13	0	1	0	0	0	0	0	0	0	0
