Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=0%	Option=10%	Option=20%	Option=30%	Option=40%	Option=49%	Option=Void	source_count	source_weight	sampling_probability
AK	Electricity	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1940s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1950s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1960s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1970s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1980s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1990s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	2000s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	2010s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	<1940	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	Ducted Heating	1940s	0	0.0305115	0.284726	0.498536	0.183692	0.00253468	0	16	16	4.67821e-07
AK	Fuel Oil	Ducted Heating	1950s	0	0.134464	0.318881	0.337591	0.142169	0.0668946	0	33	33	1.13004e-06
AK	Fuel Oil	Ducted Heating	1960s	0	0.0437846	0.385864	0.274077	0.176542	0.119733	0	37	37	1.22338e-06
AK	Fuel Oil	Ducted Heating	1970s	0	0.143789	0.286459	0.227697	0.210439	0.131616	0	126	126	4.02122e-06
AK	Fuel Oil	Ducted Heating	1980s	0	0.0862845	0.283283	0.266581	0.145732	0.218119	0	127	127	3.61006e-06
AK	Fuel Oil	Ducted Heating	1990s	0	0.15705	0.226064	0.335772	0.214934	0.0661798	0	23	23	1.20932e-06
AK	Fuel Oil	Ducted Heating	2000s	0	0.126715	0.47345	0.284664	0.115171	0	0	18	18	1.05063e-06
