Dependency=State	Option=CR02	Option=CR03	Option=CR04	Option=CR05	Option=CR06	Option=CR07	Option=CR08	Option=CR09	Option=CR10	Option=CR11	source_count	source_weight	sampling_probability
AL	0	0	0	0	0	0	0	1	0	0	252266	2.20934e+06	0.0165846
AR	0	0	0	0	0	0	0	1	0	0	186211	1.34139e+06	0.0100693
AZ	0	0	0	0	0	0	0	0	1	0	241666	2.91354e+06	0.0218709
CA	0	0	0	0	0	0	0	0	0	1	710145	1.39117e+07	0.10443
CO	0	0	0	1	0	0	0	0	0	0	201062	2.28486e+06	0.0171516
CT	0	1	0	0	0	0	0	0	0	0	67578	1.4938e+06	0.0112134
DC	0	0	0	0	0	0	1	0	0	0	6507	306711	0.00230237
DE	0	0	0	0	0	0	1	0	0	0	24115	417927	0.00313723
FL	0	0	0	0	0	0	0	1	0	0	484482	9.15282e+06	0.0687066
GA	0	0	0	0	0	0	0	1	0	0	291086	4.15652e+06	0.0312014
IA	1	0	0	0	0	0	0	0	0	0	216007	1.36262e+06	0.0102287
ID	0	0	0	1	0	0	0	0	0	0	149842	686013	0.00514964
IL	0	0	1	0	0	0	0	0	0	0	451554	5.31033e+06	0.0398626
IN	0	0	1	0	0	0	0	0	0	0	267071	2.83067e+06	0.0212488
KS	0	0	0	0	0	0	1	0	0	0	238647	1.24927e+06	0.0093778
KY	0	0	0	0	0	0	1	0	0	0	161672	1.95109e+06	0.0146461
LA	0	0	0	0	0	0	0	1	0	0	204447	2.0117e+06	0.015101
MA	0	1	0	0	0	0	0	0	0	0	157508	2.83666e+06	0.0212937
MD	0	0	0	0	0	0	1	0	0	0	145247	2.42191e+06	0.0181804
ME	0	1	0	0	0	0	0	0	0	0	69518	727127	0.00545827
MI	0	0	1	0	0	0	0	0	0	0	329885	4.54492e+06	0.034117
MN	1	0	0	0	0	0	0	0	0	0	259777	2.38286e+06	0.0178872
MO	0	0	0	0	0	0	1	0	0	0	343565	2.73877e+06	0.020559
MS	0	0	0	0	0	0	0	1	0	0	171778	1.29524e+06	0.00972287
MT	0	0	0	1	0	0	0	0	0	0	132288	491439	0.00368905
NC	0	0	0	0	0	0	0	1	0	0	288987	4.45377e+06	0.0334327
ND	1	0	0	0	0	0	0	0	0	0	133769	350134	0.00262833
NE	0	0	0	0	0	0	1	0	0	0	193352	815006	0.00611793
NH	0	1	0	0	0	0	0	0	0	0	48837	620729	0.00465957
NJ	0	0	0	0	0	1	0	0	0	0	169588	3.58644e+06	0.0269221
NM	0	0	0	0	0	0	0	0	1	0	168609	912445	0.00684937
NV	0	0	0	0	0	0	0	0	1	0	84538	1.20052e+06	0.00901182
NY	0	0	0	0	0	1	0	0	0	0	350169	8.19157e+06	0.0614911
OH	0	0	1	0	0	0	0	0	0	0	365344	5.14694e+06	0.0386361
OK	0	0	0	0	0	0	0	1	0	0	269118	1.69946e+06	0.0127572
OR	0	0	0	0	1	0	0	0	0	0	196621	1.70629e+06	0.0128085
PA	0	0	0	0	0	1	0	0	0	0	421545	5.59218e+06	0.0419783
RI	0	1	0	0	0	0	0	0	0	0	25181	462657	0.00347299
SC	0	0	0	0	0	0	0	1	0	0	181908	2.19204e+06	0.0164548
SD	1	0	0	0	0	0	0	0	0	0	88360	375866	0.00282148
TN	0	0	0	0	0	0	1	0	0	0	240116	2.87348e+06	0.0215701
TX	0	0	0	0	0	0	0	1	0	0	914231	1.04416e+07	0.0783813
UT	0	0	0	1	0	0	0	0	0	0	115406	1.02405e+06	0.00768713
VA	0	0	0	0	0	0	1	0	0	0	285762	3.44536e+06	0.025863
VT	0	1	0	0	0	0	0	0	0	0	32580	326812	0.00245326
WA	0	0	0	0	1	0	0	0	0	0	195574	2.96681e+06	0.0222708
WI	1	0	0	0	0	0	0	0	0	0	253096	2.6496e+06	0.0198895
WV	0	0	0	0	0	0	1	0	0	0	135218	884728	0.00664133
WY	0	0	0	1	0	0	0	0	0	0	86204	267987	0.00201168
# Created by: sources\spatial\tsv_maker.py
# Source: Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.
# Source: Unit counts are from the American Community Survey 5-yr 2016.
