Dependency=Geometry Building Type ACS	Option=Mobile Home	Option=Multi-Family with 2 - 4 Units	Option=Multi-Family with 5+ Units	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
10 to 19 Unit	0	0	1	0	0	223141	6.09388e+06	0.0445835
2 Unit	0	1	0	0	0	210509	4.90047e+06	0.0361283
20 to 49 Unit	0	0	1	0	0	194964	5.01963e+06	0.0367053
3 or 4 Unit	0	1	0	0	0	250392	5.9623e+06	0.0438078
5 to 9 Unit	0	0	1	0	0	249168	6.45071e+06	0.047306
50 or more Unit	0	0	1	0	0	307697	7.56736e+06	0.0552996
Mobile Home	1	0	0	0	0	441437	8.58721e+06	0.0627468
Single-Family Attached	0	0	0	1	0	374812	7.96142e+06	0.0584016
Single-Family Detached	0	0	0	0	1	4.56629e+06	8.40264e+07	0.615021
# Created by: \sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
