Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=Day	Option=Day -1h	Option=Day -2h	Option=Day -3h	Option=Day -4h	Option=Day -5h	Option=Day +1h	Option=Day +2h	Option=Day +3h	Option=Day +4h	Option=Day +5h	Option=Day and Night	Option=Day and Night -1h	Option=Day and Night -2h	Option=Day and Night -3h	Option=Day and Night -4h	Option=Day and Night -5h	Option=Day and Night +1h	Option=Day and Night +2h	Option=Day and Night +3h	Option=Day and Night +4h	Option=Day and Night +5h	Option=Night	Option=Night -1h	Option=Night -2h	Option=Night -3h	Option=Night -4h	Option=Night -5h	Option=Night +1h	Option=Night +2h	Option=Night +3h	Option=Night +4h	Option=Night +5h	Option=None	source_count	source_weight	sampling_probability
1A	Mobile Home	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	256	16405.8	0.000273086
1A	Mobile Home	Yes	No	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0	13	0	3.55757e-05
1A	Multi-Family with 2 - 4 Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	135484	0.000901227
1A	Multi-Family with 2 - 4 Units	Yes	No	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0	66	16373.1	0.000108912
1A	Multi-Family with 5+ Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	92	715626	0.0058223
1A	Multi-Family with 5+ Units	Yes	No	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00864165	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.00978985	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0.0724776	0	66	88751.7	0.000722081
1A	Single-Family Attached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42	146241	0.00123246
1A	Single-Family Attached	Yes	No	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.0082551	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.00148496	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0.081169	0	13	27374.6	0.000230703
1A	Single-Family Detached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	213	815354	0.00643287
1A	Single-Family Detached	Yes	No	0.0105142	0.0105142	0.0105142	0.0105142	0.0105142	0.0105142	0.0105142	0.0105142	0.0105142	0.0105142	0.0105142	0.00189133	0.00189133	0.00189133	0.00189133	0.00189133	0.00189133	0.00189133	0.00189133	0.00189133	0.00189133	0.00189133	0.0785036	0.0785036	0.0785036	0.0785036	0.0785036	0.0785036	0.0785036	0.0785036	0.0785036	0.0785036	0.0785036	0	10	100033	0.000789223
