Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	source_count	source_weight	sampling_probability
1A	Mobile Home	0-1499	Central AC	0	0	0	0.000104884	0.00301335	0.996882	0	1.5778	4223.37	0.000114378
1A	Mobile Home	0-1499	Heat Pump	0	0	0	0	0	1	0	1.5228	3931.04	8.92576e-05
1A	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0.164817	455.131	7.81915e-06
1A	Mobile Home	0-1499	Room AC	0	0.0822173	0.0909475	0.323957	0.0142035	0.488674	0	1.97893	5775.22	4.92771e-05
1A	Mobile Home	1500-2499	Central AC	0	0	0	0.000335371	0.00624512	0.99342	0	0.855315	2198.88	3.12649e-05
1A	Mobile Home	1500-2499	Heat Pump	0	0	0	0	0	1	0	1.36071	3263.96	2.39496e-05
1A	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0.0211071	52.82	1.61308e-06
1A	Mobile Home	1500-2499	Room AC	0	0.251773	0.135039	0.476056	0.0465319	0.0906002	0	0.149998	410.214	9.35325e-06
1A	Mobile Home	2500-3999	Central AC	0	0	0	0.000774694	0.0107623	0.988463	0	0.258704	646.228	1.28419e-06
1A	Mobile Home	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.263174	618.109	9.62099e-07
1A	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0.00272494	6.9808	7.63579e-08
1A	Mobile Home	2500-3999	Room AC	0	0.316404	0.134852	0.289142	0.0173167	0.242285	0	0.0225548	60.0082	2.12776e-07
1A	Mobile Home	4000+	Central AC	0	0	0	0.000880399	0.0135687	0.985551	0	0.0349235	86.0308	3.7233e-07
1A	Mobile Home	4000+	Heat Pump	0	0	0	0	0	1	0	0.0350158	70.3289	2.80218e-07
1A	Mobile Home	4000+	None	0	0	0	0	0	0	1	0.000260612	0.581791	1.91901e-08
1A	Mobile Home	4000+	Room AC	0	0.562301	0.104254	0.333445	0	0	0	0.000978687	2.55577	1.41231e-07
1A	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.0002376	0.00154367	0.998219	0	17.4559	17888.9	0.000404733
