Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=EF 12, National Average	Option=None	source_count	source_weight	sampling_probability
Mobile Home	CR02	0.490191	0.509809	29	253875	0.00208283
Mobile Home	CR03	0.102686	0.897314	17	84436.8	0.00118083
Mobile Home	CR04	0.38426	0.61574	23	509127	0.00528366
Mobile Home	CR05	0.376482	0.623518	19	241471	0.00206926
Mobile Home	CR06	0.378413	0.621587	26	285405	0.00250649
Mobile Home	CR07	0.310953	0.689047	32	435344	0.00334855
Mobile Home	CR08	0.384611	0.615389	98	1.2585e+06	0.00846975
Mobile Home	CR09	0.308651	0.691349	203	2.95849e+06	0.0298146
Mobile Home	CR10	0.242255	0.757745	39	421342	0.00402976
Mobile Home	CR11	0.1971	0.8029	47	394079	0.0039701
Multi-Family with 2 - 4 Units	CR02	0.148001	0.851999	46	411912	0.0036174
Multi-Family with 2 - 4 Units	CR03	0.0793482	0.920652	160	1.02701e+06	0.00846843
Multi-Family with 2 - 4 Units	CR04	0.185832	0.814168	55	1.27692e+06	0.0111909
Multi-Family with 2 - 4 Units	CR05	0.0243622	0.975638	20	190449	0.00215676
Multi-Family with 2 - 4 Units	CR06	0.0696623	0.930338	33	337684	0.00219501
Multi-Family with 2 - 4 Units	CR07	0.100299	0.899701	172	2.11247e+06	0.0183679
Multi-Family with 2 - 4 Units	CR08	0.109608	0.890392	91	676013	0.00739463
Multi-Family with 2 - 4 Units	CR09	0.0724177	0.927582	190	1.76933e+06	0.0160531
Multi-Family with 2 - 4 Units	CR10	0.12795	0.87205	13	139944	0.00214433
Multi-Family with 2 - 4 Units	CR11	0.0568016	0.943198	141	1.03423e+06	0.0083506
Multi-Family with 5+ Units	CR02	0.0524731	0.947527	114	839194	0.00882099
Multi-Family with 5+ Units	CR03	0.0343821	0.965618	159	1.02505e+06	0.00861867
Multi-Family with 5+ Units	CR04	0.0642849	0.935715	121	2.40161e+06	0.0210842
Multi-Family with 5+ Units	CR05	0	1	48	377623	0.00577136
Multi-Family with 5+ Units	CR06	0.0382166	0.961783	60	722522	0.00670755
Multi-Family with 5+ Units	CR07	0.0382213	0.961779	316	3.42427e+06	0.0311982
Multi-Family with 5+ Units	CR08	0.0892263	0.910774	225	2.1006e+06	0.0199023
Multi-Family with 5+ Units	CR09	0.0366465	0.963353	475	4.57298e+06	0.0509857
Multi-Family with 5+ Units	CR10	0.0448458	0.955154	52	550501	0.00618158
Multi-Family with 5+ Units	CR11	0.0146215	0.985378	330	2.87167e+06	0.0245973
Single-Family Attached	CR02	0.369186	0.630814	64	354897	0.00278975
Single-Family Attached	CR03	0.255636	0.744364	67	285479	0.00234935
Single-Family Attached	CR04	0.191445	0.808555	43	690747	0.00642613
Single-Family Attached	CR05	0.21006	0.78994	55	295265	0.00209269
Single-Family Attached	CR06	0.235204	0.764796	22	171122	0.00144511
Single-Family Attached	CR07	0.250024	0.749976	154	1.52336e+06	0.0134418
Single-Family Attached	CR08	0.2325	0.7675	160	1.17196e+06	0.0103192
Single-Family Attached	CR09	0.169033	0.830967	158	1.17468e+06	0.0105002
Single-Family Attached	CR10	0	1	20	174125	0.00169783
Single-Family Attached	CR11	0.0373424	0.962658	144	856699	0.00733275
Single-Family Detached	CR02	0.632232	0.367768	688	4.32062e+06	0.0361442
Single-Family Detached	CR03	0.305225	0.694775	535	3.08912e+06	0.0279339
Single-Family Detached	CR04	0.457398	0.542602	666	1.07027e+07	0.0898796
Single-Family Detached	CR05	0.516789	0.483211	303	2.81578e+06	0.023599
Single-Family Detached	CR06	0.502355	0.497645	226	2.32973e+06	0.0222251
Single-Family Detached	CR07	0.356054	0.643946	654	7.76391e+06	0.0640351
Single-Family Detached	CR08	0.468128	0.531872	1306	9.23049e+06	0.0823095
Single-Family Detached	CR09	0.392873	0.607127	2178	2.1323e+07	0.185058
Single-Family Detached	CR10	0.32285	0.67715	243	2.69877e+06	0.0236786
Single-Family Detached	CR11	0.223965	0.776035	944	7.05821e+06	0.0601795
# Created by: sources\recs\recs2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
