Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Has Pool	Option=None	source_count	source_weight	sampling_probability
Mobile Home	CR02	0	1	29	253875	0.00208283
Mobile Home	CR03	0	1	17	84436.8	0.00118083
Mobile Home	CR04	0	1	23	509127	0.00528366
Mobile Home	CR05	0	1	19	241471	0.00206926
Mobile Home	CR06	0	1	26	285405	0.00250649
Mobile Home	CR07	0	1	32	435344	0.00334855
Mobile Home	CR08	0	1	98	1.2585e+06	0.00846975
Mobile Home	CR09	0	1	203	2.95849e+06	0.0298146
Mobile Home	CR10	0	1	39	421342	0.00402976
Mobile Home	CR11	0	1	47	394079	0.0039701
Multi-Family with 2 - 4 Units	CR02	0	1	46	411912	0.0036174
Multi-Family with 2 - 4 Units	CR03	0	1	160	1.02701e+06	0.00846843
Multi-Family with 2 - 4 Units	CR04	0	1	55	1.27692e+06	0.0111909
Multi-Family with 2 - 4 Units	CR05	0	1	20	190449	0.00215676
Multi-Family with 2 - 4 Units	CR06	0	1	33	337684	0.00219501
Multi-Family with 2 - 4 Units	CR07	0	1	172	2.11247e+06	0.0183679
Multi-Family with 2 - 4 Units	CR08	0	1	91	676013	0.00739463
Multi-Family with 2 - 4 Units	CR09	0	1	190	1.76933e+06	0.0160531
Multi-Family with 2 - 4 Units	CR10	0	1	13	139944	0.00214433
Multi-Family with 2 - 4 Units	CR11	0	1	141	1.03423e+06	0.0083506
Multi-Family with 5+ Units	CR02	0	1	114	839194	0.00882099
Multi-Family with 5+ Units	CR03	0	1	159	1.02505e+06	0.00861867
Multi-Family with 5+ Units	CR04	0	1	121	2.40161e+06	0.0210842
Multi-Family with 5+ Units	CR05	0	1	48	377623	0.00577136
Multi-Family with 5+ Units	CR06	0	1	60	722522	0.00670755
Multi-Family with 5+ Units	CR07	0	1	316	3.42427e+06	0.0311982
Multi-Family with 5+ Units	CR08	0	1	225	2.1006e+06	0.0199023
Multi-Family with 5+ Units	CR09	0	1	475	4.57298e+06	0.0509857
Multi-Family with 5+ Units	CR10	0	1	52	550501	0.00618158
Multi-Family with 5+ Units	CR11	0	1	330	2.87167e+06	0.0245973
Single-Family Attached	CR02	0.0147714	0.985229	64	354897	0.00278975
Single-Family Attached	CR03	0	1	67	285479	0.00234935
Single-Family Attached	CR04	0	1	43	690747	0.00642613
Single-Family Attached	CR05	0	1	55	295265	0.00209269
Single-Family Attached	CR06	0	1	22	171122	0.00144511
Single-Family Attached	CR07	0.0235982	0.976402	154	1.52336e+06	0.0134418
Single-Family Attached	CR08	0.0181706	0.981829	160	1.17196e+06	0.0103192
Single-Family Attached	CR09	0.0145441	0.985456	158	1.17468e+06	0.0105002
Single-Family Attached	CR10	0.0461757	0.953824	20	174125	0.00169783
Single-Family Attached	CR11	0.0121293	0.987871	144	856699	0.00733275
Single-Family Detached	CR02	0.0514946	0.948505	688	4.32062e+06	0.0361442
Single-Family Detached	CR03	0.119015	0.880985	535	3.08912e+06	0.0279339
Single-Family Detached	CR04	0.0791754	0.920825	666	1.07027e+07	0.0898796
Single-Family Detached	CR05	0.0253936	0.974606	303	2.81578e+06	0.023599
Single-Family Detached	CR06	0.0359082	0.964092	226	2.32973e+06	0.0222251
Single-Family Detached	CR07	0.173149	0.826851	654	7.76391e+06	0.0640351
Single-Family Detached	CR08	0.0804547	0.919545	1306	9.23049e+06	0.0823095
Single-Family Detached	CR09	0.114957	0.885043	2178	2.1323e+07	0.185058
Single-Family Detached	CR10	0.192343	0.807657	243	2.69877e+06	0.0236786
Single-Family Detached	CR11	0.167064	0.832936	944	7.05821e+06	0.0601795
# Created by: sources\recs\recs2009\tsv_maker.py
# Description: The presence of a pool at the dwelling unit.
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Pools at mobile home and multi-family dwelling units are not modeled.
