Dependency=Geometry Stories	Option=8+	Option=<8	source_count	source_weight	sampling_probability
1	0	1	5768	5.41038e+07	0.491434
2	0	1	4098	3.79249e+07	0.379395
3	0	1	771	7.39322e+06	0.077595
4	0	1	123	1.32488e+06	0.0176971
5	0	1	74	723449	0.00750411
6	0	1	62	577566	0.00656304
7	0	1	17	151776	0.00129693
8	1	0	13	141790	0.00155839
9	1	0	10	122228	0.00130994
10	1	0	12	106310	0.00152331
11	1	0	8	86678.7	0.000881729
12	1	0	13	149908	0.00172053
13	1	0	8	66141.7	0.000961521
14	1	0	10	95842.6	0.00115277
15	1	0	10	96913	0.00100707
20	1	0	15	120772	0.00179296
21	1	0	51	572630	0.00660689
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
