Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Wall Type	Option=Wood Stud, Uninsulated	Option=Wood Stud, R-7	Option=Wood Stud, R-11	Option=Wood Stud, R-15	Option=Wood Stud, R-19	Option=CMU, 6-in Hollow, Uninsulated	Option=CMU, 6-in Hollow, R-7	Option=CMU, 6-in Hollow, R-11	Option=CMU, 6-in Hollow, R-15	Option=CMU, 6-in Hollow, R-19	Option=Brick, 12-in, 3-wythe, Uninsulated	Option=Brick, 12-in, 3-wythe, R-7	Option=Brick, 12-in, 3-wythe, R-11	Option=Brick, 12-in, 3-wythe, R-15	Option=Brick, 12-in, 3-wythe, R-19	Option=Void	sampling_probability
CR02	<1940	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.000652456
CR05	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000190425
CR03	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00180158
CR04	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00742814
CR06	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000136728
CR07	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0122327
CR08	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00244736
CR09	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00193941
CR10	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000253571
CR11	<1940	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00021971
CR02	1950s	Brick	0	0	0	0	0	0	0	0	0	0	0.09	0.32	0.45	0.13	0	0	0.000280059
CR05	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0002771
CR03	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000183765
CR04	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00804235
CR06	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000108917
CR07	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0064304
CR08	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00174756
CR09	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00527764
CR10	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000293959
CR11	1950s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000335774
CR02	1960s	Brick	0	0	0	0	0	0	0	0	0	0	0.06	0.15	0.44	0.24	0.12	0	0.000217928
CR05	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000240402
CR03	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00012708
CR04	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00762689
CR06	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.30363e-05
CR07	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00483071
CR08	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00151278
CR09	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0105984
CR10	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000113053
CR11	1960s	Brick	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7.08873e-05
CR02	1970s	Brick	0	0	0	0	0	0	0	0	0	0	0	0.06	0.71	0.12	0.1	0	0.000320507
CR05	1970s	Brick	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.000496397
CR03	1970s	Brick	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.000184722
