Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	source_count	source_weight	sampling_probability
1A	Mobile Home	Central AC	0.002735	0	0.010527	0.005249	0.03196	0.105343	0.154602	0.214599	0.16959	0.223823	0.081571	906	7.71366e+06	0.000454278
2A	Mobile Home	Central AC	0.002735	0	0.010527	0.005249	0.03196	0.105343	0.154602	0.214599	0.16959	0.223823	0.081571	906	7.71366e+06	0.00376607
2B	Mobile Home	Central AC	0	0	0.028422	0	0.016309	0.040378	0.062273	0.153362	0.106556	0.365972	0.226728	117	1.23341e+06	0.000482366
3A	Mobile Home	Central AC	0.009878	0.002952	0.025362	0.007533	0.086357	0.189144	0.204579	0.209647	0.081992	0.153097	0.029458	712	7.88535e+06	0.00481207
3B	Mobile Home	Central AC	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	371	3.08493e+06	0.00222202
3C	Mobile Home	Central AC	0	0	0.074883	0	0.220505	0.154345	0.314479	0.076825	0.158963	0	0	13	97664.4	0.000310427
4A	Mobile Home	Central AC	0.003898	0.001937	0.025624	0.008622	0.088362	0.227422	0.239413	0.189264	0.101777	0.092439	0.021242	1181	1.04873e+07	0.00430576
4B	Mobile Home	Central AC	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	371	3.08493e+06	0.000184882
4C	Mobile Home	Central AC	0	0	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0	0.053213	0.039036	25	257021	0.000447156
5A	Mobile Home	Central AC	0.004968	0.001134	0.029665	0.018022	0.075768	0.247791	0.253807	0.178958	0.075514	0.097707	0.016665	511	6.09456e+06	0.0060973
5B	Mobile Home	Central AC	0.005354	0.005608	0.06112	0.011829	0.076205	0.166847	0.263414	0.206292	0.043003	0.12765	0.032679	108	957837	0.000458606
6A	Mobile Home	Central AC	0	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	192	1.32653e+06	0.000566647
6B	Mobile Home	Central AC	0	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	192	1.32653e+06	8.53023e-05
7A	Mobile Home	Central AC	0	0	0	0	0.309212	0.352215	0.184311	0.095946	0.058316	0	0	15	81487.2	0.000183755
7B	Mobile Home	Central AC	0	0	0	0	0.309212	0.352215	0.184311	0.095946	0.058316	0	0	15	81487.2	2.63346e-05
1A	Single-Family Detached	Central AC	0.002735	0	0.010527	0.005249	0.03196	0.105343	0.154602	0.214599	0.16959	0.223823	0.081571	906	7.71366e+06	0.00639779
2A	Single-Family Detached	Central AC	0.002735	0	0.010527	0.005249	0.03196	0.105343	0.154602	0.214599	0.16959	0.223823	0.081571	906	7.71366e+06	0.0530391
2B	Single-Family Detached	Central AC	0	0	0.028422	0	0.016309	0.040378	0.062273	0.153362	0.106556	0.365972	0.226728	117	1.23341e+06	0.00725487
3A	Single-Family Detached	Central AC	0.009878	0.002952	0.025362	0.007533	0.086357	0.189144	0.204579	0.209647	0.081992	0.153097	0.029458	712	7.88535e+06	0.0585176
3B	Single-Family Detached	Central AC	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	371	3.08493e+06	0.0348288
3C	Single-Family Detached	Central AC	0	0	0.074883	0	0.220505	0.154345	0.314479	0.076825	0.158963	0	0	13	97664.4	0.00288108
4A	Single-Family Detached	Central AC	0.003898	0.001937	0.025624	0.008622	0.088362	0.227422	0.239413	0.189264	0.101777	0.092439	0.021242	1181	1.04873e+07	0.0825554
4B	Single-Family Detached	Central AC	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	371	3.08493e+06	0.0028979
4C	Single-Family Detached	Central AC	0	0	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0	0.053213	0.039036	25	257021	0.00254031
5A	Single-Family Detached	Central AC	0.004968	0.001134	0.029665	0.018022	0.075768	0.247791	0.253807	0.178958	0.075514	0.097707	0.016665	511	6.09456e+06	0.0751139
5B	Single-Family Detached	Central AC	0.005354	0.005608	0.06112	0.011829	0.076205	0.166847	0.263414	0.206292	0.043003	0.12765	0.032679	108	957837	0.00783169
6A	Single-Family Detached	Central AC	0	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	192	1.32653e+06	0.0183004
6B	Single-Family Detached	Central AC	0	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	192	1.32653e+06	0.00275491
7A	Single-Family Detached	Central AC	0	0	0	0	0.309212	0.352215	0.184311	0.095946	0.058316	0	0	15	81487.2	0.00119161
7B	Single-Family Detached	Central AC	0	0	0	0	0.309212	0.352215	0.184311	0.095946	0.058316	0	0	15	81487.2	0.000170774
1A	Single-Family Attached	Central AC	0.002877	0	0.011301	0	0.054958	0.144025	0.169354	0.31825	0.106529	0.156965	0.035742	296	2.28837e+06	0.000594475
2A	Single-Family Attached	Central AC	0.002877	0	0.011301	0	0.054958	0.144025	0.169354	0.31825	0.106529	0.156965	0.035742	296	2.28837e+06	0.00492833
2B	Single-Family Attached	Central AC	0	0	0	0	0.063292	0.087319	0.13561	0.2392	0.139526	0.154828	0.180226	41	389003	0.000674114
3A	Single-Family Attached	Central AC	0.031821	0.003867	0.045302	0.002735	0.081797	0.26731	0.179226	0.247351	0.047221	0.063314	0.030058	199	2.02005e+06	0.00543739
3B	Single-Family Attached	Central AC	0.084977	0.010136	0.070029	0	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	110	930440	0.00323625
3C	Single-Family Attached	Central AC	0	0	0.051003	0	0.209469	0.105125	0.32324	0.103831	0.207333	0	0	18	143392	0.000267706
4A	Single-Family Attached	Central AC	0.036918	0.002032	0.083121	0.01204	0.145709	0.218908	0.180029	0.192762	0.04643	0.058897	0.023155	326	2.93188e+06	0.00767095
4B	Single-Family Attached	Central AC	0.084977	0.010136	0.070029	0	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	110	930440	0.00026927
4C	Single-Family Attached	Central AC	0	0	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0	0.053213	0.039036	25	257021	0.000236043
