Parameter,Created by,Source,Assumption
AHS Region,sources\spatial\tsv_maker.py,Spatial definitions are from U.S. Census 2010.; Core Based Statistical Area (CBSA) data based on the Feb 2013 CBSA delineation file.,
ASHRAE IECC Climate Zone 2004,sources\spatial\tsv_maker.py,"Unit counts are from the American Community Survey 5-yr 2016.; Spatial definitions are from U.S. Census 2010.; Climate zone data are from ASHRAE 169 2006, IECC 2004, and M.C. Baechler 2015.",
Bathroom Spot Vent Hour,,Same as occupancy schedule from Wilson et al. 'Building America House Simulation Protocols' 2014,
Bedrooms,sources\ahs\2017\tsv_maker.py,2017 American Housing Survey (AHS) microdata.; Building type categorization based on U.S. EIA 2009 Residential Energy Consumption Survey (RECS).,More than 5 bedrooms are labeled as 5 bedrooms and 0 bedrooms are labeled as 1 bedroom; Limit 0-499 sqft dwelling units to only 1 or 2 bedrooms. The geometry measure has a limit of (ffa-120)/70 >= bedrooms.
Building America Climate Zone,sources\spatial\tsv_maker.py,"Unit counts are from the American Community Survey 5-yr 2016.; Spatial definitions are from U.S. Census 2010.; Climate zone data are from ASHRAE 169 2006, IECC 2004, and M.C. Baechler 2015.; ISO and RTO regions are from EIA Form 861.; Core Based Statistical Area (CBSA) data based on the Feb 2013 CBSA delineation file.",
CEC Climate Zone,sources\spatial\tsv_maker.py,Census tract definitions are from U.S. Census 2010.; Zip code definitions are from the end of Q2 2020; The climate zone to zip codes in California is from the California Energy Commission Website.,The dependency selected is PUMA as there is greater resolution of PUMAs than Counties in California.; The California Climate zone distribution may be off at the County level as only PUMA was selected as a dependency.; Both PUMA and County was not used as a dependency because the combination of PUMAs and Counties produces too many rows.
Ceiling Fan,,"Wilson et al. 'Building America House Simulation Protocols' 2014, national average used as saturation",
Census Division,sources\spatial\tsv_maker.py,Spatial definitions are from U.S. Census 2010.,
Census Division RECS,sources\spatial\tsv_maker.py,U.S. EIA 2015 Residential Energy Consumption Survey (RECS) codebook.,
Census Region,sources\spatial\tsv_maker.py,Spatial definitions are from U.S. Census 2010.,
Clothes Dryer,sources\ahs\2017\tsv_maker.py,2017 American Housing Survey (AHS) microdata.; Core Based Statistical Area (CBSA) data based on the Feb 2013 CBSA delineation file.,
Clothes Washer,,RECS 2009,
Clothes Washer Presence,sources\ahs\2017\tsv_maker.py,2017 American Housing Survey (AHS) microdata.; Core Based Statistical Area (CBSA) data based on the Feb 2013 CBSA delineation file.,
Cooking Range,,(fuel type) RECS 2009; (usage) engineering judgement,
Cooling Setpoint,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Cooling Setpoint Has Offset,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Cooling Setpoint Offset Magnitude,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Cooling Setpoint Offset Period,https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Corridor,,Engineering Judgement,
County,sources\spatial\tsv_maker.py,Unit counts are from the American Community Survey 5-yr 2016.; Spatial definitions are from U.S. Census 2010.,
Dehumidifier,,n/a,
Dishwasher,sources\recs\2009\tsv_maker.py,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Door Area,,Engineering Judgement,
Doors,,Engineering Judgement,
Ducts,,"(duct insulation as a function of location) IECC 2009; (leakage distribution) Lucas and Cole, 'Impacts of the 2009 IECC for Residential Buildings at State Level', 2009; (duct location) Wilson et al., 'Building America House Simulation Protocols', 2014",
Electric Vehicle,,n/a,
Geometry Building Number Units HL,,RECS 2009,
Geometry Building Number Units MF,,RECS 2009 modified to work with the ResStock geometry measure,
Geometry Building Number Units SFA,,RECS 2009,
Geometry Building Type ACS,sources\pums\tsv_maker.py,"5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.",
Geometry Building Type RECS,sources\pums\tsv_maker.py,"5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.",
Geometry Floor Area,sources\ahs\2017\tsv_maker.py,2017 American Housing Survey (AHS) microdata.,
Geometry Floor Area Bin,sources\recs\2009\tsv_maker.py,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.; Geometry Floor Area bins are from the UNITSIZE field of the 2017 American Housing Survey (AHS).,
