Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR02	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1940	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1940	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
