Dependency=Geometry Building Type RECS	Dependency=Bedrooms	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	sample_count	sample_weight	resstock_probability
Mobile Home	1	0.460477	0.366073	0.101211	0.0	0.0	0.072239	18.0	331607.84375	0.0038767707392101548
Mobile Home	2	0.332989	0.358227	0.157866	0.089675	0.039391	0.021852	114.0	2435742.25	0.022028821275912498
Mobile Home	3	0.176179	0.37604299999999996	0.156513	0.14322100000000001	0.06806799999999999	0.079976	132.0	3535822.25	0.029450339286674003
Mobile Home	4	0.28282199999999996	0.073384	0.28885	0.19106900000000002	0.078231	0.08564400000000001	19.0	444752.59375	0.005396926026260029
Mobile Home	5	0.0	0.0	0.0	1.0	0.0	0.0	1.0	16490.482422	0.0003985898725778449
Multi-Family with 2 - 4 Units	1	0.687956	0.167527	0.06226900000000001	0.023222	0.017176	0.04185	104.0	3197325.75	0.020811734147367027
Multi-Family with 2 - 4 Units	2	0.21821100000000002	0.30304200000000003	0.22728099999999998	0.14285899999999999	0.063445	0.045161	160.0	4696326.0	0.0415147117105201
Multi-Family with 2 - 4 Units	3	0.154363	0.300158	0.229954	0.130356	0.14640899999999998	0.03876	41.0	1366876.75	0.014996900003492351
Multi-Family with 2 - 4 Units	4	0.0	0.0	0.169632	0.566651	0.26371700000000003	0.0	4.0	79932.976562	0.0014727133669313515
Multi-Family with 2 - 4 Units	5	0.0	0.0	0.0	0.0	1.0	0.0	1.0	27971.890625	0.0003307276742243364
Multi-Family with 5+ Units	1	0.642519	0.294894	0.043532	0.014963999999999996	0.0015300000000000001	0.002561	376.0	9558276.0	0.08378595459469375
Multi-Family with 5+ Units	2	0.29549699999999995	0.38914299999999996	0.171944	0.111739	0.02185	0.009826999999999999	372.0	8983525.0	0.07452242996068617
Multi-Family with 5+ Units	3	0.077916	0.243959	0.26774699999999996	0.183075	0.185106	0.042197000000000005	68.0	1727888.375	0.012846286906675554
Multi-Family with 5+ Units	4	0.070671	0.359854	0.0	0.45701800000000004	0.0	0.112456	15.0	420099.6875	0.0014631985853575764
Multi-Family with 5+ Units	5	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.0	0.0	0.00013500123251083986
Single-Family Attached	1	0.492658	0.391175	0.116167	0.0	0.0	0.0	22.0	349814.84375	0.005082783861943676
Single-Family Attached	2	0.352188	0.35967899999999997	0.136668	0.07766100000000001	0.047938	0.025866000000000004	239.0	3162462.0	0.02464205315310688
Single-Family Attached	3	0.22703299999999998	0.321762	0.225998	0.138716	0.06095800000000001	0.025532	181.0	2868890.25	0.02310544029888198
Single-Family Attached	4	0.085251	0.24970599999999998	0.07914600000000001	0.4425060000000001	0.108223	0.035169	31.0	469788.53125	0.004173010622715503
Single-Family Attached	5	0.0	0.397303	0.0	0.0	0.47187399999999996	0.130823	6.0	159176.34375	0.0011251145107749455
Single-Family Detached	1	0.5585680000000001	0.370728	0.023329	0.014459	0.032916	0.0	62.0	1285962.75	0.010483590230251192
Single-Family Detached	2	0.287898	0.493051	0.116423	0.06821100000000001	0.026513	0.007905	503.0	10307150.0	0.08286399446016768
Single-Family Detached	3	0.17666400000000002	0.40481100000000003	0.194431	0.134625	0.059761	0.029708	1855.0	37952952.0	0.315618992297368
Single-Family Detached	4	0.097311	0.330328	0.184919	0.215754	0.102159	0.06952799999999999	1015.0	19017764.0	0.17095670800327337
Single-Family Detached	5	0.062279999999999995	0.223852	0.17319	0.23676	0.135419	0.1685	303.0	5115529.5	0.048931581360481216
