Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Usage Level	Option=290 Rated kWh, 80% Usage	Option=290 Rated kWh, 100% Usage	Option=290 Rated kWh, 120% Usage	Option=318 Rated kWh, 80% Usage	Option=318 Rated kWh, 100% Usage	Option=318 Rated kWh, 120% Usage	Option=None	source_count	source_weight	sampling_probability
Mobile Home	CR02	Average	0.000000	0.060507	0.000000	0.000000	0.213799	0.000000	0.725693	7.250000	63468.816406	0.000000
Mobile Home	CR03	Average	0.000000	0.000000	0.000000	0.000000	0.042353	0.000000	0.957647	4.250000	21109.205078	0.000000
Mobile Home	CR04	Average	0.000000	0.075068	0.000000	0.000000	0.103187	0.000000	0.821745	5.750000	127281.679688	0.000000
Mobile Home	CR05	Average	0.000000	0.123047	0.000000	0.000000	0.245902	0.000000	0.631051	4.750000	60367.710938	0.000000
Mobile Home	CR06	Average	0.000000	0.157647	0.000000	0.000000	0.145587	0.000000	0.696766	6.500000	71351.156250	0.000000
Mobile Home	CR07	Average	0.000000	0.108519	0.000000	0.000000	0.179669	0.000000	0.711812	8.000000	108836.039062	0.000000
Mobile Home	CR08	Average	0.000000	0.108507	0.000000	0.000000	0.172271	0.000000	0.719223	24.500000	314624.937500	0.000000
Mobile Home	CR09	Average	0.000000	0.090449	0.000000	0.000000	0.102549	0.000000	0.807003	50.750000	739622.062500	0.000000
Mobile Home	CR10	Average	0.000000	0.089560	0.000000	0.000000	0.047107	0.000000	0.863333	9.750000	105335.531250	0.000000
Mobile Home	CR11	Average	0.000000	0.082368	0.000000	0.000000	0.061765	0.000000	0.855867	11.750000	98519.820312	0.000000
Multi-Family with 2 - 4 Units	CR02	Average	0.000000	0.037674	0.000000	0.000000	0.097350	0.000000	0.864976	11.500000	102977.890625	0.000000
Multi-Family with 2 - 4 Units	CR03	Average	0.000000	0.094086	0.000000	0.000000	0.107112	0.000000	0.798802	40.000000	256752.640625	0.000000
Multi-Family with 2 - 4 Units	CR04	Average	0.000000	0.140882	0.000000	0.000000	0.149022	0.000000	0.710096	13.750000	319229.156250	0.000000
Multi-Family with 2 - 4 Units	CR05	Average	0.000000	0.021974	0.000000	0.000000	0.279831	0.000000	0.698195	5.000000	47612.339844	0.000000
Multi-Family with 2 - 4 Units	CR06	Average	0.000000	0.087127	0.000000	0.000000	0.237438	0.000000	0.675435	8.250000	84420.992188	0.000000
Multi-Family with 2 - 4 Units	CR07	Average	0.000000	0.113279	0.000000	0.000000	0.055841	0.000000	0.830880	43.000000	528116.625000	0.000000
Multi-Family with 2 - 4 Units	CR08	Average	0.000000	0.019085	0.000000	0.000000	0.219806	0.000000	0.761109	22.750000	169003.156250	0.000000
Multi-Family with 2 - 4 Units	CR09	Average	0.000000	0.085864	0.000000	0.000000	0.137014	0.000000	0.777122	47.500000	442332.875000	0.000000
Multi-Family with 2 - 4 Units	CR10	Average	0.000000	0.070346	0.000000	0.000000	0.489200	0.000000	0.440455	3.250000	34985.945312	0.000000
Multi-Family with 2 - 4 Units	CR11	Average	0.000000	0.112192	0.000000	0.000000	0.120640	0.000000	0.767167	35.250000	258557.843750	0.000000
