Dependency=HVAC System Cooling	Dependency=HVAC System Is Shared	Dependency=HVAC System Is Heat Pump	Option=Central	Option=Room	Option=None	Option=N/A
"AC, SEER 10"	Both Shared	No	0.000000	0.000000	0.000000	1.000000
"AC, SEER 13"	Both Shared	No	0.000000	0.000000	0.000000	1.000000
"AC, SEER 15"	Both Shared	No	0.000000	0.000000	0.000000	1.000000
"AC, SEER 8"	Both Shared	No	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Both Shared	No	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Both Shared	No	0.000000	0.000000	0.000000	1.000000
None	Both Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 10"	Neither Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 13"	Neither Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 15"	Neither Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 8"	Neither Shared	No	1.000000	0.000000	0.000000	0.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Neither Shared	No	0.000000	1.000000	0.000000	0.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Neither Shared	No	0.000000	1.000000	0.000000	0.000000
None	Neither Shared	No	0.000000	0.000000	1.000000	0.000000
"AC, SEER 10"	Only Cooling Shared	No	0.000000	0.000000	0.000000	1.000000
"AC, SEER 13"	Only Cooling Shared	No	0.000000	0.000000	0.000000	1.000000
"AC, SEER 15"	Only Cooling Shared	No	0.000000	0.000000	0.000000	1.000000
"AC, SEER 8"	Only Cooling Shared	No	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Only Cooling Shared	No	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Only Cooling Shared	No	0.000000	0.000000	0.000000	1.000000
None	Only Cooling Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 10"	Only Heating Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 13"	Only Heating Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 15"	Only Heating Shared	No	1.000000	0.000000	0.000000	0.000000
"AC, SEER 8"	Only Heating Shared	No	1.000000	0.000000	0.000000	0.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Only Heating Shared	No	0.000000	1.000000	0.000000	0.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Only Heating Shared	No	0.000000	1.000000	0.000000	0.000000
None	Only Heating Shared	No	0.000000	0.000000	1.000000	0.000000
"AC, SEER 10"	Both Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 13"	Both Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 15"	Both Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 8"	Both Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Both Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Both Shared	Yes	0.000000	0.000000	0.000000	1.000000
None	Both Shared	Yes	1.000000	0.000000	0.000000	0.000000
"AC, SEER 10"	Neither Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 13"	Neither Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 15"	Neither Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 8"	Neither Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Neither Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Neither Shared	Yes	0.000000	0.000000	0.000000	1.000000
None	Neither Shared	Yes	1.000000	0.000000	0.000000	0.000000
"AC, SEER 10"	Only Cooling Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 13"	Only Cooling Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 15"	Only Cooling Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 8"	Only Cooling Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Only Cooling Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Only Cooling Shared	Yes	0.000000	0.000000	0.000000	1.000000
None	Only Cooling Shared	Yes	1.000000	0.000000	0.000000	0.000000
"AC, SEER 10"	Only Heating Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 13"	Only Heating Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 15"	Only Heating Shared	Yes	0.000000	0.000000	0.000000	1.000000
"AC, SEER 8"	Only Heating Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 10.7, 20% Conditioned"	Only Heating Shared	Yes	0.000000	0.000000	0.000000	1.000000
"FIXME Room AC, EER 8.5, 20% Conditioned"	Only Heating Shared	Yes	0.000000	0.000000	0.000000	1.000000
None	Only Heating Shared	Yes	1.000000	0.000000	0.000000	0.000000
