Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=0F	Option=3F	Option=6F	Option=12F	source_count	source_weight	sampling_probability
1A	Mobile Home	No	No	1	0	0	0	586	341015	0.00016256
1A	Mobile Home	Yes	No	0	0.486386	0.338637	0.174977	504	168826	0.00013687
1A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	204	208772	0.000437684
1A	Multi-Family with 2 - 4 Units	Yes	No	0	0.422651	0.387057	0.190293	158	128428	0.00035194
1A	Multi-Family with 5+ Units	No	No	1	0	0	0	204	476076	0.00306173
1A	Multi-Family with 5+ Units	Yes	No	0	0.422651	0.387057	0.190293	158	370810	0.00246193
1A	Single-Family Attached	No	No	1	0	0	0	204	122605	0.000634684
1A	Single-Family Attached	Yes	No	0	0.422651	0.387057	0.190293	158	150031	0.000510348
1A	Single-Family Detached	No	No	1	0	0	0	586	2.2452e+06	0.00276336
1A	Single-Family Detached	Yes	No	0	0.486386	0.338637	0.174977	504	2.00868e+06	0.00232665
1A	Mobile Home	No	Yes	1	0	0	0	41	105660	1.69437e-05
1A	Mobile Home	Yes	Yes	0	0.143137	0.375066	0.481797	36	70887.4	1.38869e-05
1A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	12	27822.4	3.70865e-05
1A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.267687	0.308555	0.423758	16	10743.9	4.01527e-05
1A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	12	20378.5	0.000175075
1A	Multi-Family with 5+ Units	Yes	Yes	0	0.267687	0.308555	0.423758	16	40903	0.000189549
1A	Single-Family Attached	No	Yes	1	0	0	0	12	4859.59	4.92796e-05
1A	Single-Family Attached	Yes	Yes	0	0.267687	0.308555	0.423758	16	5800.45	5.33539e-05
1A	Single-Family Detached	No	Yes	1	0	0	0	41	92926.6	0.000356955
1A	Single-Family Detached	Yes	Yes	0	0.143137	0.375066	0.481797	36	91873.6	0.000292558
2A	Mobile Home	No	No	1	0	0	0	586	341015	0.00571457
2A	Mobile Home	Yes	No	0	0.486386	0.338637	0.174977	504	168826	0.00481148
2A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	204	208772	0.0036376
2A	Multi-Family with 2 - 4 Units	Yes	No	0	0.422651	0.387057	0.190293	158	128428	0.00292498
2A	Multi-Family with 5+ Units	No	No	1	0	0	0	204	476076	0.0116689
2A	Multi-Family with 5+ Units	Yes	No	0	0.422651	0.387057	0.190293	158	370810	0.0093829
2A	Single-Family Attached	No	No	1	0	0	0	204	122605	0.00238156
2A	Single-Family Attached	Yes	No	0	0.422651	0.387057	0.190293	158	150031	0.00191501
2A	Single-Family Detached	No	No	1	0	0	0	586	2.2452e+06	0.0359497
2A	Single-Family Detached	Yes	No	0	0.486386	0.338637	0.174977	504	2.00868e+06	0.0302685
2A	Mobile Home	No	Yes	1	0	0	0	41	105660	0.000493059
2A	Mobile Home	Yes	Yes	0	0.143137	0.375066	0.481797	36	70887.4	0.000404109
2A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	12	27822.4	0.000239787
2A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.267687	0.308555	0.423758	16	10743.9	0.000259612
2A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	12	20378.5	0.000604401
