Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area	Option=1	Option=2	Option=3	Option=4	Option=5	source_count	source_weight	sampling_probability
Mobile Home	0-499	0.604737	0.395263	0	0	0	109	265141	0.00248666
Mobile Home	1000-1499	0.020451	0.29947	0.637349	0.03716	0.005569	897	2.26131e+06	0.0224378
Mobile Home	1500-1999	0.006553	0.18001	0.700041	0.110061	0.003335	437	1.1053e+06	0.0108776
Mobile Home	2000-2499	0	0.074167	0.448283	0.458304	0.019246	140	357507	0.00356532
Mobile Home	2500-2999	0	0.105196	0.247002	0.58496	0.062842	30	79685.3	0.000807705
Mobile Home	3000-3999	0	0.018915	0.728919	0.215609	0.036557	11	25408.1	0.000317322
Mobile Home	4000+	0	0.140529	0.366176	0.493295	0	13	30927.9	0.000351009
Mobile Home	500-749	0.14968	0.608701	0.220169	0.021449	0	230	594891	0.00620852
Mobile Home	750-999	0.03635	0.571799	0.370055	0.018637	0.003159	492	1.29714e+06	0.0132519
Multi-Family with 2 - 4 Units	0-499	0.690294	0.309706	0	0	0	200	396086	0.00500742
Multi-Family with 2 - 4 Units	1000-1499	0.078518	0.60012	0.298282	0.018317	0.004763	996	1.92596e+06	0.0234065
Multi-Family with 2 - 4 Units	1500-1999	0.067499	0.448938	0.408357	0.05948	0.015727	221	475900	0.00555331
Multi-Family with 2 - 4 Units	2000-2499	0.042963	0.316565	0.46319	0.145309	0.031973	80	177513	0.00205872
Multi-Family with 2 - 4 Units	2500-2999	0.07932	0.077461	0.745185	0.076754	0.021279	26	47451	0.000663341
Multi-Family with 2 - 4 Units	3000-3999	0	0.202623	0.468781	0.328596	0	17	34450.9	0.000369467
Multi-Family with 2 - 4 Units	4000+	0.16547	0.506448	0.311792	0	0.016289	17	41439	0.000495045
Multi-Family with 2 - 4 Units	500-749	0.563607	0.378347	0.054861	0.003185	0	668	1.27963e+06	0.0160148
Multi-Family with 2 - 4 Units	750-999	0.218248	0.644663	0.125852	0.009925	0.001313	1036	2.05263e+06	0.0250824
Multi-Family with 5+ Units	0-499	0.876109	0.123891	0	0	0	948	1.65072e+06	0.0169203
Multi-Family with 5+ Units	1000-1499	0.123891	0.695235	0.164532	0.014822	0.001521	2477	4.38925e+06	0.0436016
Multi-Family with 5+ Units	1500-1999	0.119176	0.528188	0.314042	0.031448	0.007146	376	714912	0.00729221
Multi-Family with 5+ Units	2000-2499	0.008802	0.538839	0.402411	0.049949	0	78	148552	0.00154634
Multi-Family with 5+ Units	2500-2999	0.169725	0.224434	0.523023	0.082818	0	29	58282.6	0.000546918
Multi-Family with 5+ Units	3000-3999	0.057398	0.243175	0.53766	0.161767	0	22	47754.3	0.000445472
Multi-Family with 5+ Units	4000+	0.296865	0.427765	0.216721	0.058649	0	28	55648.2	0.000599714
Multi-Family with 5+ Units	500-749	0.777823	0.202393	0.016592	0.003192	0	2748	4.47905e+06	0.0455347
Multi-Family with 5+ Units	750-999	0.439699	0.521975	0.032861	0.005263	0.000202	3378	5.75138e+06	0.057811
Single-Family Attached	0-499	0.479635	0.520365	0	0	0	71	121368	0.00088208
Single-Family Attached	1000-1499	0.027105	0.515658	0.415775	0.035	0.006461	1531	2.87223e+06	0.0219903
Single-Family Attached	1500-1999	0.010323	0.289047	0.616647	0.066811	0.017172	957	1.75814e+06	0.0134015
Single-Family Attached	2000-2499	0.00415	0.176934	0.579343	0.202735	0.036839	452	781285	0.0057943
Single-Family Attached	2500-2999	0.02821	0.092997	0.529623	0.28918	0.059989	174	304349	0.00240052
Single-Family Attached	3000-3999	0	0.13028	0.417584	0.341368	0.110769	120	247949	0.00189841
Single-Family Attached	4000+	0	0.11951	0.302132	0.224934	0.353424	65	121200	0.000910027
Single-Family Attached	500-749	0.470765	0.42714	0.093575	0.00852	0	284	476685	0.00350075
Single-Family Attached	750-999	0.165822	0.663254	0.153702	0.017222	0	576	1.02748e+06	0.00761775
Single-Family Detached	0-499	0.659723	0.340277	0	0	0	142	331736	0.00302736
Single-Family Detached	1000-1499	0.014915	0.232576	0.648704	0.091351	0.012453	7076	1.62812e+07	0.150093
Single-Family Detached	1500-1999	0.005997	0.099648	0.662374	0.211211	0.020771	8031	1.81488e+07	0.163868
Single-Family Detached	2000-2499	0.004454	0.06449	0.478485	0.392302	0.060269	5824	1.30892e+07	0.116433
Single-Family Detached	2500-2999	0.003119	0.038904	0.357899	0.47379	0.126287	3326	7.3386e+06	0.0641943
Single-Family Detached	3000-3999	0.001388	0.030351	0.235401	0.497998	0.234862	3297	6.97732e+06	0.0601092
Single-Family Detached	4000+	0.002896	0.021163	0.182378	0.375973	0.41759	1577	3.30557e+06	0.0281605
Single-Family Detached	500-749	0.297573	0.486016	0.16674	0.032289	0.017382	373	872167	0.00806849
Single-Family Detached	750-999	0.087525	0.491402	0.367808	0.04706	0.006205	1598	3.67961e+06	0.0343973
# Created by: sources\ahs\2017\tsv_maker.py
# Source: Constructed using 2017 American Housing Survey (AHS) microdata.
# Source: Building type categorization based on U.S. EIA 2009 Residential Energy Consumption Survey (RECS).
# Assumption: More than 5 bedrooms are labeled as 5 bedrooms and 0 bedrooms are labeled as 1 bedroom
# Assumption: Limit 0-499 sqft dwelling units to only 1 or 2 bedrooms. The geometry measure has a limit of (ffa-120)/70 >= bedrooms.
