Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Vintage	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	sample_count	sample_weight	resstock_probability
Mobile Home	0-1499	Crawl	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	1960s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	1960s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	1960s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	1960s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	1970s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	1970s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	1970s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	1970s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	1980s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	1980s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	1980s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	1980s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	1990s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	1990s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	1990s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	1990s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	2000s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	2000s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	2000s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	2000s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	2010s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	2010s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	2010s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	2010s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Crawl	<1940	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Crawl	<1940	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Crawl	<1940	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Crawl	<1940	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Heated Basement	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Heated Basement	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Heated Basement	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Heated Basement	1940s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Heated Basement	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Heated Basement	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Heated Basement	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	4000+	Heated Basement	1950s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	0-1499	Heated Basement	1960s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	1500-2499	Heated Basement	1960s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Mobile Home	2500-3999	Heated Basement	1960s	0.0	0.0	0.0	1.0	0.0	0.0	0.0
