occupants,cooking_range,plug_loads,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,clothes_washer,clothes_dryer,dishwasher,baths,showers,sinks,ceiling_fan,clothes_dryer_exhaust,clothes_washer_power,dishwasher_power,vacancy
1,0.046666667,0.65564912,0.123751072,0.123751072,0.123751072,0,0,0,0,0,0,0,0.559346533,0,0,0,0
1,0.046666667,0.618183456,0.074250643,0.074250643,0.074250643,0,0,0,0,0,0,0,0.517395543,0,0,0,0
1,0.026666667,0.599450624,0.049500429,0.049500429,0.049500429,0,0,0,0,0,0,0,0.517395543,0,0,0,0
1,0.026666667,0.580717792,0.049500429,0.049500429,0.049500429,0,0,0,0,0,0,0,0.503411879,0,0,0,0
1,0.046666667,0.599450624,0.055033338,0.055033338,0.055033338,0,0,0,0,0,0,0,0.461460889,0,0,0,0
1,0.073333333,0.618183456,0.151005022,0.151005022,0.151005022,0,0,0,0,0,0,0,0.503411879,0,0,0,0
1,0.166666667,0.693114784,0.354518108,0.354518108,0.354518108,0,0,0,0,0,0,1.93E-05,0.601297523,0,0,0,0
0.88,0.28,0.786778944,0.448633526,0.448633526,0.448633526,0,0,0,0,0,0,4.78E-05,0.657232176,0.85,0,0,0
0.41,0.306666667,0.805511776,0.476771435,0.476771435,0.476771435,0,0.003345289,0,0,0,0,0,0.475444553,0.316666667,0.003345289,0,0
0.24,0.32,0.805511776,0.490087694,0.490087694,0.490087694,0,0,0.030271383,0,0,0,0,0.321624256,0,0,0,0
0.24,0.28,0.805511776,0.476762548,0.476762548,0.476762548,0,0,0,0,0,0,0,0.33560792,0,0,0,0
0.24,0.333333333,0.824244608,0.458300918,0.458300918,0.458300918,0,0,0,0,0,0,2.71E-05,0.349591583,0,0,0,0
0.24,0.38,0.84297744,0.444975771,0.444975771,0.444975771,0,0,0,0,0,0,0.000171034,0.33560792,0,0,0,0
0.24,0.306666667,0.84297744,0.441054651,0.441054651,0.441054651,0,0,0,0,0,0,0,0.391542573,0,0,0,0
0.24,0.38,0.824244608,0.447927144,0.447927144,0.447927144,0,0,0,0,0,0,0.000100935,0.433493563,0.3,0,0,0
0.24,0.293333333,0.861710272,0.489859618,0.489859618,0.489859618,0,0.000647511,0,0,0,0,6.30E-05,0.447477226,0.1,0.000647511,0,0
0.29,0.613333333,0.899175936,0.601585319,0.601585319,0.601585319,0.028806512,0,0.0058593,0,0,0,0,0.545362869,0,0,0,0
0.55,1,0.974107263,0.797807348,0.797807348,0.797807348,0.345678142,0,0,0,0,0.000205203,0,0.741134156,0,0,0,0
0.9,0.78,0.992840095,0.97864564,0.97864564,0.97864564,0.592593115,0,0,0,0,0.000820814,0.000266761,0.880970789,0,0,0,0
0.9,0.4,0.936641599,0.990804618,0.990804618,0.990804618,0.68312837,0,0,0,0,0,1.90E-05,0.936905442,0,0,0,0
0.9,0.233333333,0.880443104,0.822578453,0.822578453,0.822578453,1,0,0,0,0,0,0,0.992840095,0,0,0,0
1,0.166666667,0.84297744,0.620620744,0.620620744,0.620620744,0.67901265,0,0,0,0,0,9.70E-05,0.964872769,0,0,0,0
1,0.106666667,0.74931328,0.536431278,0.536431278,0.536431278,0.131688926,0,0,0,0,0,2.60E-05,0.825036136,0,0,0,0
1,0.073333333,0.674381952,0.249225449,0.249225449,0.249225449,0.065844463,0,0,0,0,0,0,0.699183166,0,0,0,0
1,0.046666667,0.65564912,0.123751072,0.123751072,0.123751072,0,0,0,0,0,0,0,0.559346533,0,0,0,0
