Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=None
CR02	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	<1950	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1950s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
