Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4+	Option=N/a	Count	Weight
Mobile Home	<1940	0-1499	1.000000	0.000000	0.000000	0.000000	0.000000	3	20739.187050
Mobile Home	<1940	1500-2499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	<1940	2500-3499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	<1940	3500+	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1940s	0-1499	1.000000	0.000000	0.000000	0.000000	0.000000	3	20739.187050
Mobile Home	1940s	1500-2499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1940s	2500-3499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1940s	3500+	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1950s	0-1499	1.000000	0.000000	0.000000	0.000000	0.000000	12	146802.916200
Mobile Home	1950s	1500-2499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1950s	2500-3499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1950s	3500+	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1960s	0-1499	1.000000	0.000000	0.000000	0.000000	0.000000	33	332831.049400
Mobile Home	1960s	1500-2499	1.000000	0.000000	0.000000	0.000000	0.000000	2	23883.722120
Mobile Home	1960s	2500-3499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1960s	3500+	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1970s	0-1499	1.000000	0.000000	0.000000	0.000000	0.000000	143	1669181.400000
Mobile Home	1970s	1500-2499	1.000000	0.000000	0.000000	0.000000	0.000000	9	100574.841400
Mobile Home	1970s	2500-3499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1970s	3500+	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1980s	0-1499	1.000000	0.000000	0.000000	0.000000	0.000000	122	1680231.102000
Mobile Home	1980s	1500-2499	1.000000	0.000000	0.000000	0.000000	0.000000	8	86169.839630
Mobile Home	1980s	2500-3499	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1980s	3500+	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
Mobile Home	1990s	0-1499	1.000000	0.000000	0.000000	0.000000	0.000000	110	1522099.407000
Mobile Home	1990s	1500-2499	1.000000	0.000000	0.000000	0.000000	0.000000	30	429277.383400
Mobile Home	1990s	2500-3499	1.000000	0.000000	0.000000	0.000000	0.000000	2	12732.062070
Mobile Home	1990s	3500+	1.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000
