Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.013584	0.016588	0.005094	0.036049	0.070009	0.009012	0.273408	0.014264	0.561992	0.000000	0.000000
AL, 00200	0.028856	0.045222	0.000000	0.000000	0.050606	0.011413	0.153834	0.018575	0.691494	0.000000	0.000000
AL, 00301	0.102326	0.000000	0.037662	0.008101	0.052726	0.024018	0.085843	0.034548	0.654776	0.000000	0.000000
AL, 00302	0.047276	0.000000	0.025623	0.009744	0.058103	0.084087	0.085843	0.020105	0.669219	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.003348	0.001803	0.011589	0.000000	0.580133	0.012153	0.390975	0.000000	0.000000
AL, 00500	0.009110	0.000000	0.021258	0.021258	0.030368	0.000000	0.228537	0.005392	0.684078	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.032014	0.121318	0.000000	0.180772	0.000000	0.665895	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.004703	0.010223	0.000000	0.000409	0.447387	0.000000	0.537279	0.000000	0.000000
AL, 00800	0.010709	0.000000	0.008211	0.009995	0.021240	0.000000	0.447681	0.009751	0.492412	0.000000	0.000000
AL, 00900	0.000000	0.036918	0.038071	0.000000	0.025381	0.000000	0.368116	0.000000	0.531513	0.000000	0.000000
AL, 01000	0.000000	0.019980	0.000000	0.007871	0.020182	0.007871	0.626040	0.003629	0.314426	0.000000	0.000000
AL, 01100	0.000000	0.011926	0.000000	0.000000	0.048199	0.007453	0.592323	0.036977	0.303122	0.000000	0.000000
AL, 01200	0.021681	0.010610	0.029868	0.000000	0.020758	0.042208	0.142891	0.050013	0.681972	0.000000	0.000000
AL, 01301	0.057699	0.020316	0.000000	0.019504	0.143028	0.026818	0.068280	0.000000	0.664356	0.000000	0.000000
AL, 01302	0.015059	0.000000	0.042051	0.012786	0.083818	0.113651	0.068280	0.137089	0.527267	0.000000	0.000000
AL, 01303	0.058137	0.000000	0.017576	0.023999	0.037181	0.130471	0.068280	0.041305	0.623051	0.000000	0.000000
AL, 01304	0.013724	0.000000	0.062521	0.073703	0.075228	0.042189	0.068280	0.000000	0.664356	0.000000	0.000000
AL, 01305	0.012710	0.052656	0.064912	0.012710	0.077622	0.046755	0.068280	0.002428	0.661928	0.000000	0.000000
AL, 01400	0.006279	0.000000	0.008521	0.029152	0.000000	0.000897	0.713364	0.000000	0.241788	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.086900	0.072996	0.248325	0.000000	0.591779	0.000000	0.000000
AL, 01600	0.029619	0.006110	0.031483	0.024545	0.041943	0.043290	0.196455	0.040554	0.586001	0.000000	0.000000
AL, 01700	0.003112	0.003527	0.013693	0.003527	0.004149	0.007469	0.837744	0.000000	0.126779	0.000000	0.000000
AL, 01800	0.003088	0.007206	0.000000	0.000000	0.034229	0.025736	0.551729	0.027482	0.350530	0.000000	0.000000
AL, 01900	0.049177	0.038788	0.030938	0.022626	0.033477	0.020433	0.261491	0.017547	0.525523	0.000000	0.000000
AL, 02000	0.061440	0.034235	0.013144	0.047685	0.035458	0.039126	0.137646	0.024261	0.607004	0.000000	0.000000
AL, 02100	0.007404	0.006360	0.015187	0.019744	0.026958	0.002088	0.332840	0.000000	0.589420	0.000000	0.000000
AL, 02200	0.000000	0.005479	0.000000	0.005479	0.031992	0.002475	0.711865	0.000000	0.242710	0.000000	0.000000
AL, 02300	0.000000	0.014110	0.012253	0.024135	0.031933	0.000000	0.416214	0.019913	0.481442	0.000000	0.000000
