Building,Location Weather Year,Usage Level,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Interior Shading,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Has Heating Setpoint Offset,Has Cooling Setpoint Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Refrigeration Schedule,Cooking Range,Cooking Range Schedule,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Plug Loads Schedule,Electric Vehicle,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Misc Pool Schedule,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio,Geometry Single Unit Horizontal Location,Geometry Single Unit Level,Geometry Single Unit Has Rear Units
1,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Left,Bottom,True
2,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Middle,Bottom,True
3,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Middle,Bottom,True
4,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Middle,Bottom,True
5,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Middle,Bottom,True
6,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Middle,Bottom,True
7,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Right,Bottom,True
8,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Left,Middle,True
9,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Middle,Middle,True
10,TMY3,High,20 to 49 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,42,None,None,3,Double-Loaded Interior,N/a,2,Yes,Left,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour18,None,Day81,0.13,Middle,Middle,True
