Dependency=Location Heating Region	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Dependency=Vintage	Option=Electric Baseboard	Option=Electric Boiler	Option=Electric Furnace	Option=Gas Boiler, 72% AFUE	Option=Gas Boiler, 76% AFUE	Option=Gas Boiler, 80% AFUE	Option=Gas Boiler, 85% AFUE	Option=Gas Boiler, 96% AFUE	Option=Gas Furnace, 60% AFUE	Option=Gas Furnace, 68% AFUE	Option=Gas Furnace, 76% AFUE	Option=Gas Furnace, 80% AFUE	Option=Gas Furnace, 90% AFUE	Option=Gas Furnace, 96% AFUE	Option=Oil Boiler, 72% AFUE	Option=Propane Boiler, 72% AFUE	Option=None	Count	Weight
H1	Electricity	No	<1950	0.838493747431	0.0	0.161506252569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60	135554.69
H1	Electricity	No	1950s	0.784907763286	0.0909290788944	0.12416315782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25	44071.93
H1	Electricity	No	1960s	0.727807842655	0.0	0.272192157345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21	46397.81
H1	Electricity	No	1970s	0.476650352265	0.0	0.523349647735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43	129987.4
H1	Electricity	No	1980s	0.517921308136	0.0	0.482078691864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	69157.34
H1	Electricity	No	1990s	0.675816276738	0.0426814679048	0.281502255357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19	48732.86
H1	Electricity	No	2000s	0.387755156793	0.147751865794	0.464492977413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	33546.04
H1	Electricity	Yes	<1950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Electricity	Yes	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	1188.02
H1	Electricity	Yes	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Electricity	Yes	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Electricity	Yes	1980s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Electricity	Yes	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	2079.99
H1	Electricity	Yes	2000s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Fuel Oil	No	<1950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	25	69157.4
H1	Fuel Oil	No	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0749395623934	0.0	0.925060437607	10	19544.95
H1	Fuel Oil	No	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4	11682.87
H1	Fuel Oil	No	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2	6421.18
H1	Fuel Oil	No	1980s	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0	0	0.0
H1	Fuel Oil	No	1990s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	1612.69
H1	Fuel Oil	No	2000s	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0	0	0.0
H1	Fuel Oil	Yes	<1950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Fuel Oil	Yes	1950s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Fuel Oil	Yes	1960s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
H1	Fuel Oil	Yes	1970s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
