"","Estimate","Std. Error","t value","Pr(>|t|)"
"size3500+",45118.11904,2381.52333,18.94507,0
"size2500-3499",31386.86794,2148.73526,14.60714,0
"size1500-2499",15883.69348,1718.29631,9.24386,0
"nhsldmem",3755.60484,471.45745,7.96595,0
"reportable_domain21",26473.63538,3444.74467,7.68522,0
"reportable_domain26",32067.59043,4257.58321,7.53188,0
"reportable_domain4",36855.01712,4974.94801,7.40812,0
"reportable_domain14",32071.19006,4922.5395,6.51517,0
"temphome",-1243.85609,199.15853,-6.24556,0
"reportable_domain13",28218.14913,4528.69482,6.23097,0
"reportable_domain5",27293.44528,4733.31034,5.76625,0
"vintage2000s",14848.17458,2741.1049,5.41686,0
"(Intercept)",86220.5527,16513.73015,5.22114,0
"reportable_domain24",23955.27176,4662.92549,5.13739,0
"reportable_domain3",30073.01354,6003.145,5.00954,0
"reportable_domain6",20704.77519,4361.66006,4.74699,0
"reportable_domain7",18354.35267,3987.85463,4.60256,0
"reportable_domain22",39634.22119,8663.96047,4.57461,0
"typeglass2+ Pane",7270.00174,1599.78959,4.54435,1e-05
"reportable_domain17",16150.46825,3642.13909,4.43434,1e-05
"reportable_domain1",46865.64977,10911.73139,4.29498,2e-05
"reportable_domain8",21458.47608,5379.59739,3.98886,7e-05
"vintage1980s",10449.63436,2776.65646,3.76339,0.00017
"equipmSteam or Hot Water System",30293.93021,8498.66044,3.56455,0.00037
"reportable_domain25",21264.50482,6064.2072,3.50656,0.00046
"reportable_domain18",13192.39102,3782.79693,3.48747,0.00049
"reportable_domain2",38168.53579,11104.32474,3.43727,0.00059
"reportable_domain10",16201.27255,4745.63289,3.41393,0.00065
"vintage1990s",8848.3113,2652.33717,3.33604,0.00086
"equipmHeat Pump",21532.24786,7446.38308,2.89164,0.00385
"reportable_domain12",11706.61998,4579.4031,2.55636,0.01062
"equipmCentral Warm-Air Furnace",15965.55323,7281.11083,2.19274,0.02839
"reportable_domain19",9408.00955,4578.18045,2.05497,0.03995
"reportable_domain11",10574.75745,5190.04271,2.03751,0.04167
"reportable_domain27",14471.03515,7409.7365,1.95298,0.05089
"agecenac15-19 yrs",6025.74149,3190.56123,1.88861,0.05902
"reportable_domain20",7218.30581,4071.29406,1.77298,0.07631
"equipmBuilt-In Electric Units",15986.30561,9252.66119,1.72775,0.08411
"vintage1970s",4435.46453,2731.73441,1.62368,0.10453
"agecenac2-4 yrs",4533.37499,2829.14501,1.60238,0.10915
"reportable_domain9",10417.65948,7046.28981,1.47846,0.13937
"agecenac< 2 yrs",4485.96095,3128.77277,1.43378,0.15172
"agecenac10-14 yrs",3207.96188,2683.75466,1.19533,0.23203
"agecenac5-9 yrs",2921.85567,2628.02961,1.1118,0.26629
"equipmOther Equipment",9983.4991,9471.52608,1.05405,0.29192
"reportable_domain16",3939.00159,3857.41849,1.02115,0.30725
"typeglassNo Windows",5218.44867,7189.72115,0.72582,0.46799
"reportable_domain23",2386.53017,5784.95635,0.41254,0.67997
"vintage1950s",1064.44733,2930.65971,0.36321,0.71647
"vintage<1950",-625.49072,3037.4889,-0.20592,0.83686
