occupants,lighting_interior,lighting_exterior,cooking_range,refrigerator,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,hot_water_fixtures,lighting_garage,lighting_exterior_holiday,ceiling_fan
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.461,0.467,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0833,0.503,0.3,0.55,0,0,0,0,0,0.0464,0.516,0.106,0.503,0,0.34
1,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0,0.601,0,0.487
0.667,0.316,0.657,0,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0.128,0.322,0,0.279
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0.0428,0.336,0,0.284
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0.0857,0.35,0,0.288
0.333,0.181,0.336,0,0.641,0.516,0.8,0,0,0,0.196,0.591,0.171,0.336,0,0.284
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0.171,0.392,0,0.258
0,0.0495,0.433,0,0.641,0,0,0,0,0,0.235,0.465,0.128,0.433,0,0.258
0.333,0.196,0.447,0.217,0.626,0,0,0,0,0,0.263,0.597,0.0857,0.447,0,0.321
0.667,0.418,0.545,0.55,0.672,0,0,0,0,0,0.327,0.755,0.0428,0.545,0.0288,0.449
1,0.798,0.741,0,0.733,0.234,0.167,0,0,0,0.402,0.974,0,0.741,0.346,0.741
1,0.979,0.881,0,0.764,0.572,0.633,0,0,0,0.541,0.993,0.128,0.881,0.593,0.881
1,0.991,0.937,0,0.733,0.548,0.667,0,0,0,0.758,0.937,0.257,0.937,0.683,0.937
1,0.823,0.993,0,0.718,0.503,0.133,0,0,0,0.936,0.88,0,0.993,1,0.993
1,0.621,0.965,0,0.703,0.277,0,0,0,0,0.887,0.843,0.175,0.965,0.679,0.965
1,0.374,0.825,0,0.672,0,0,0,0,0,0.536,0.655,0.205,0.825,0.132,0.636
1,0.116,0.699,0,0.626,0,0,0,0,0,0.232,0.535,0,0.699,0.0658,0.405
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0.0428,0.559,0,0.258
