occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,heating_setpoint,cooling_setpoint
1,0.0743,0.0743,0,0,0,0,0.281,0.608,0.0424,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.151,0.151,0,0,0,0,0.281,0.621,0.0355,0,0,0.14,0,0
0.667,0.0495,0.0495,0.517,0,0,0,0.421,0.562,0.0159,0,0,0.159,0,0
0.667,0.334,0.334,0.25,0,0,0,0.14,0.732,0.0895,0,0,0.119,0,0
0.667,0.343,0.343,0,0,0,0,0.14,0.732,0.105,0,0,0.342,0,0
0.667,0.334,0.334,0.5,0,0,0,0.14,0.732,0.117,0,0,0.149,0,0
0.667,0.322,0.322,0.0167,0,0,0,0.14,0.732,0.129,0,0,0.402,0,0
0.667,0.313,0.313,0,0,0,0,0.14,0.732,0.136,0,0,0.0372,0,0
0.333,0.18,0.18,0,0,0,0,0.281,0.647,0.0845,0,0,0.223,0,0
0.333,0.182,0.182,0,0,0,0,0.281,0.647,0.0888,0,0,0.26,0,0
0.333,0.196,0.196,0,0,0,0,0.281,0.66,0.0982,0,0,0.0372,0,0
0.333,0.234,0.234,0,0,0,0,0.281,0.679,0.12,0,0,0,0,0
0.667,0.548,0.548,0.5,0,0,0,0.14,0.836,0.273,0,0,0.0743,0,0
0.667,0.669,0.669,1,0,0,0,0.14,0.849,0.366,0,0,0.0743,0,0
0.667,0.677,0.677,0.05,0,0,0,0.14,0.836,0.51,0,0,0.149,0,0
0.667,0.565,0.565,0,0,0,0,0.14,0.81,0.629,0,0,0.0743,0,0
0.667,0.43,0.43,0,0,0,0,0.14,0.758,0.596,0,0,0.0372,0,0
0.667,0.212,0.212,0,0,0,0,0.281,0.634,0.189,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0.0372,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0833,0.0833,0.25,0,0,0,0.281,0.608,0.026,0,0,0.334,0,0
1,0.355,0.355,0.783,0,0,0,0,0.74,0.0747,0,0,0.28,0,0
1,0.449,0.449,0,0,0,0,0,0.798,0.103,0,0,0.162,0,0
0.667,0.334,0.334,0,0,0,0,0.14,0.732,0.0895,0,0,0.275,0,0
0.667,0.196,0.196,0,0,0,0,0.281,0.647,0.0604,0,0,0.217,0,0
0.667,0.192,0.192,0,0,0,0,0.281,0.647,0.0664,0,0,0.168,0,0
0.667,0.186,0.186,0,0,0,0,0.281,0.647,0.0724,0,0,0.365,0,0
0.667,0.181,0.181,0,0,0.233,0,0.281,0.647,0.0759,0,0.295,0.154,0,0
0.667,0.18,0.18,0,0,0.25,0.217,0.281,0.647,0.0845,0,0.44,0,0,0
0.667,0.182,0.182,0.25,0,0,0.6,0.281,0.647,0.0888,0,0.55,0,0,0
0.667,0.343,0.343,0,0,0,0,0.14,0.758,0.181,0,0.479,0.186,0,0
0.333,0.234,0.234,0,0.4,0,0,0.281,0.679,0.12,0.707,0.379,0.0743,0,0
0.667,0.548,0.548,0,0.667,0,0,0.14,0.836,0.273,0,0.287,0.112,0,0
0.667,0.669,0.669,0,0,0,0,0.14,0.849,0.366,0,0,0.223,0,0
0.667,0.677,0.677,0,0.65,0,0,0.14,0.836,0.51,0.635,0,0.417,0,0
0.667,0.307,0.307,0,0.15,0,0,0.281,0.686,0.322,0,0,0.112,0,0
1,0.43,0.43,0,0,0,0,0.14,0.758,0.596,0,0,0.195,0,0
1,0.374,0.374,0,0,0,0,0.14,0.706,0.363,0,0,0.186,0,0
1,0.116,0.116,0,0,0,0,0.281,0.614,0.0879,0,0,0.0372,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
1,0.0495,0.0495,0,0,0,0,0.421,0.562,0.0159,0,0,0,0,0
