Dependency=ASHRAE IECC Climate Zone 2004	Dependency=HVAC Has Zonal Electric Heating	Dependency=Geometry Building Type RECS	Option=Yes	Option=No	source_count	source_weight
3B	No	Mobile Home	0.581483	0.418517	881	7.09405e+06
3B	Yes	Mobile Home	0.568875	0.431125	49	393847
3B	No	Single-Family Detached	0.581483	0.418517	881	7.09405e+06
3B	Yes	Single-Family Detached	0.568875	0.431125	49	393847
3B	No	Single-Family Attached	0.582048	0.417952	333	2.64153e+06
3B	Yes	Single-Family Attached	0.685737	0.314263	57	456090
3B	No	Multi-Family with 2 - 4 Units	0.582048	0.417952	333	2.64153e+06
3B	Yes	Multi-Family with 2 - 4 Units	0.685737	0.314263	57	456090
3B	No	Multi-Family with 5+ Units	0.582048	0.417952	333	2.64153e+06
3B	Yes	Multi-Family with 5+ Units	0.685737	0.314263	57	456090
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb
# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units
# Assumptions: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes
