Dependency=Heating Fuel	Dependency=HVAC Heating Efficiency	Option=Electricity ASHP	Option=Electricity Baseboard	Option=Electricity Electric Boiler	Option=Electricity Electric Furnace	Option=Electricity Electric Wall Furnace	Option=Electricity MSHP	Option=Electricity Shared Heating	Option=Fuel Oil Fuel Boiler	Option=Fuel Oil Fuel Furnace	Option=Fuel Oil Fuel Wall/Floor Furnace	Option=Fuel Oil Shared Heating	Option=Natural Gas Fuel Boiler	Option=Natural Gas Fuel Furnace	Option=Natural Gas Fuel Wall/Floor Furnace	Option=Natural Gas Shared Heating	Option=None	Option=Other Fuel Fuel Boiler	Option=Other Fuel Fuel Furnace	Option=Other Fuel Fuel Wall/Floor Furnace	Option=Other Fuel Shared Heating	Option=Propane Fuel Boiler	Option=Propane Fuel Furnace	Option=Propane Fuel Wall/Floor Furnace	Option=Propane Shared Heating	Option=Void	source_count	source_weight	sampling_probability
Electricity	ASHP, SEER 10, 6.2 HSPF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	696531	0.00303848
Electricity	ASHP, SEER 13, 7.7 HSPF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	7.094e+06	0.0309462
Electricity	ASHP, SEER 15, 8.5 HSPF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	1.81692e+06	0.00792597
Electricity	Electric Baseboard, 100% Efficiency	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	789	8.19365e+06	0.07553
Electricity	Electric Boiler, 100% AFUE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	139374	0.00128474
Electricity	Electric Furnace, 100% AFUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2099	1.84675e+07	0.119611
Electricity	Electric Wall Furnace, 100% AFUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	166799	0.00153759
Electricity	Fuel Boiler, 76% AFUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Electricity	Fuel Boiler, 80% AFUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Electricity	Fuel Boiler, 90% AFUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Electricity	Fuel Furnace, 60% AFUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Electricity	Fuel Furnace, 76% AFUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Electricity	Fuel Furnace, 80% AFUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
