Dependency=Vacancy Status	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Option=55F	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	source_count	source_weight	sampling_probability
Occupied	Mobile Home	No	0	0.035108	0.01837	0.09242	0.04892	0.234929	0.237776	0.141598	0.097621	0.037798	0.035476	0.019983	881	7.09405e+06	0.00569401
Occupied	Mobile Home	Yes	0	0.201124	0.053107	0.241364	0	0.102752	0.185843	0.016419	0.157808	0.020154	0.021429	0	49	393847	0.000478926
Occupied	Single-Family Detached	No	0	0.035108	0.01837	0.09242	0.04892	0.234929	0.237776	0.141598	0.097621	0.037798	0.035476	0.019983	881	7.09405e+06	0.334813
Occupied	Single-Family Detached	Yes	0	0.201124	0.053107	0.241364	0	0.102752	0.185843	0.016419	0.157808	0.020154	0.021429	0	49	393847	0.0284977
Occupied	Single-Family Attached	No	0	0.035655	0.003198	0.100153	0.025961	0.16237	0.266414	0.103109	0.194336	0.030045	0.046398	0.032361	333	2.64153e+06	0.0516269
Occupied	Single-Family Attached	Yes	0	0.159404	0	0.157194	0.036138	0.077903	0.275719	0.051658	0.120394	0.016063	0.08478	0.020748	57	456090	0.00541882
Occupied	Multi-Family with 2 - 4 Units	No	0	0.035655	0.003198	0.100153	0.025961	0.16237	0.266414	0.103109	0.194336	0.030045	0.046398	0.032361	333	2.64153e+06	0.0760286
Occupied	Multi-Family with 2 - 4 Units	Yes	0	0.159404	0	0.157194	0.036138	0.077903	0.275719	0.051658	0.120394	0.016063	0.08478	0.020748	57	456090	0.00462651
Occupied	Multi-Family with 5+ Units	No	0	0.035655	0.003198	0.100153	0.025961	0.16237	0.266414	0.103109	0.194336	0.030045	0.046398	0.032361	333	2.64153e+06	0.398625
Occupied	Multi-Family with 5+ Units	Yes	0	0.159404	0	0.157194	0.036138	0.077903	0.275719	0.051658	0.120394	0.016063	0.08478	0.020748	57	456090	0.0318765
Vacant	Mobile Home	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000448137
Vacant	Mobile Home	Yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6589e-05
Vacant	Single-Family Detached	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182334
Vacant	Single-Family Detached	Yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154839
Vacant	Single-Family Attached	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00321471
Vacant	Single-Family Attached	Yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000351028
Vacant	Multi-Family with 2 - 4 Units	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00598835
Vacant	Multi-Family with 2 - 4 Units	Yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000358859
Vacant	Multi-Family with 5+ Units	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297984
Vacant	Multi-Family with 5+ Units	Yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00233669
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb
# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units
# Assumptions: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes
# Assumptions: Vacant units have a heating setpoint of 55 F to ensure the pipes do not freeze
# Manually downselected to the ASHRAE Climate Zone 3B for Project LA
