Dependency=Geometry Stories	Option=8+	Option=<8	source_count	source_weight	sampling_probability
1	0	1	5768	5.41038e+07	0.314062
2	0	1	4098	3.79249e+07	0.356074
3	0	1	771	7.39322e+06	0.176056
4	0	1	123	1.32488e+06	0.0500345
5	0	1	74	723449	0.0244041
6	0	1	62	577566	0.021093
7	0	1	17	151776	0.00547202
8	1	0	13	141790	0.00439394
9	1	0	10	122228	0.00393018
10	1	0	12	106310	0.00422082
11	1	0	8	86678.7	0.00248978
12	1	0	13	149908	0.00497658
13	1	0	8	66141.7	0.00255786
14	1	0	10	95842.6	0.00308579
15	1	0	10	96913	0.00307518
20	1	0	15	120772	0.00464957
21	1	0	51	572630	0.0194238
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
