Dependency=Geometry Building Type RECS	Dependency=Cooling Setpoint Has Offset	Option=0F	Option=2F	Option=5F	Option=9F	source_count	source_weight	sampling_probability
Mobile Home	Yes	0	0.342629	0.37043	0.286941	371	3.08493e+06	0.00362468
Single-Family Detached	Yes	0	0.342629	0.37043	0.286941	371	3.08493e+06	0.20857
Single-Family Attached	Yes	0	0.346094	0.28206	0.371845	110	930440	0.032916
Multi-Family with 2 - 4 Units	Yes	0	0.346094	0.28206	0.371845	110	930440	0.0472479
Multi-Family with 5+ Units	Yes	0	0.346094	0.28206	0.371845	110	930440	0.251242
Mobile Home	No	1	0	0	0	371	3.08493e+06	0.00303298
Single-Family Detached	No	1	0	0	0	371	3.08493e+06	0.174523
Single-Family Attached	No	1	0	0	0	110	930440	0.0276955
Multi-Family with 2 - 4 Units	No	1	0	0	0	110	930440	0.0397544
Multi-Family with 5+ Units	No	1	0	0	0	110	930440	0.211395
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb
# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units
# Assumptions: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes
# Manually downselected to ASHRAE Climate Zone 3B for Project LA
