Dependency=County	Dependency=Geometry Building Type RECS	Dependency=Vacancy Status	Option=No	Option=Yes	source_count	source_weight	sampling_probability
CA, Los Angeles County	Mobile Home	Occupied	1	0	0	58	0.00654535
CA, Los Angeles County	Mobile Home	Vacant	1	0	0	58	0.000597851
CA, Los Angeles County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	58	0.0821008
CA, Los Angeles County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	58	0.00755467
CA, Los Angeles County	Multi-Family with 5+ Units	Occupied	1	0	0	58	0.430596
CA, Los Angeles County	Multi-Family with 5+ Units	Vacant	1	0	0	58	0.038817
CA, Los Angeles County	Single-Family Attached	Occupied	1	0	0	58	0.0548106
CA, Los Angeles County	Single-Family Attached	Vacant	1	0	0	58	0.00352584
CA, Los Angeles County	Single-Family Detached	Occupied	0.957664	0.042336	147758	3.49012e+06	0.353797
CA, Los Angeles County	Single-Family Detached	Vacant	1	0	0	58	0.0216554
# Created by: sources\dpv\tsv_maker.py
# Source: Constructed using ACS population and RiDER data on PV installation that combines LBNL's 2020 Tracking the Sun and Wood Mackenzie's 2020 Q4 PV report (prepared by Nicholas.Willems@nrel.gov on Jun 22, 2021)
# Assumption: Imposed an upperbound of 14 kWDC, which contains 95pct of all installations. Counties with source_count<10 are backfilled with aggregates at the State level. Distribution based on all installations is applied only to occupied SFD, actual distribution for SFD may be higher.
# Downselected: This characteristic was downselected from project_national.
