Dependency=HVAC Has Ducts	Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=None	Option=10% Leakage, Uninsulated	Option=20% Leakage, Uninsulated	Option=30% Leakage, Uninsulated	Option=10% Leakage, R-4	Option=20% Leakage, R-4	Option=30% Leakage, R-4	Option=10% Leakage, R-6	Option=20% Leakage, R-6	Option=30% Leakage, R-6	Option=10% Leakage, R-8	Option=20% Leakage, R-8	Option=30% Leakage, R-8	Option=0% Leakage, Uninsulated
Yes	Single-Family Detached	<1940	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1950s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1960s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1970s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1980s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	1990s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Detached	2000s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0
Yes	Single-Family Attached	<1940	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1950s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1960s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1970s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1980s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	1990s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Single-Family Attached	2000s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	<1940	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1950s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1960s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1970s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1980s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	1990s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 2 - 4 Units	2000s	Vented Crawlspace	0	0	0	0	0	0	0	0.26	0.47	0.27	0	0	0	0
Yes	Multi-Family with 5+ Units	<1940	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1950s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1960s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1970s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
Yes	Multi-Family with 5+ Units	1980s	Vented Crawlspace	0	0.26	0.47	0.27	0	0	0	0	0	0	0	0	0	0
