Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Cooling Type	Option=None	"Option=AC, SEER 8"	"Option=AC, SEER 10"	"Option=AC, SEER 13"	"Option=AC, SEER 15"	"Option=FIXME Room AC, EER 8.5, 20% Conditioned"	"Option=FIXME Room AC, EER 10.7, 20% Conditioned"
CR02	1950s	Electricity	None	1	0	0	0	0	0	0
CR02	1960s	Electricity	None	1	0	0	0	0	0	0
CR02	1970s	Electricity	None	1	0	0	0	0	0	0
CR02	1980s	Electricity	None	1	0	0	0	0	0	0
CR02	1990s	Electricity	None	1	0	0	0	0	0	0
CR02	2000s	Electricity	None	1	0	0	0	0	0	0
CR02	<1950	Electricity	None	1	0	0	0	0	0	0
CR05	1950s	Electricity	None	1	0	0	0	0	0	0
CR05	1960s	Electricity	None	1	0	0	0	0	0	0
CR05	1970s	Electricity	None	1	0	0	0	0	0	0
CR05	1980s	Electricity	None	1	0	0	0	0	0	0
CR05	1990s	Electricity	None	1	0	0	0	0	0	0
CR05	2000s	Electricity	None	1	0	0	0	0	0	0
CR05	<1950	Electricity	None	1	0	0	0	0	0	0
CR03	1950s	Electricity	None	1	0	0	0	0	0	0
CR03	1960s	Electricity	None	1	0	0	0	0	0	0
CR03	1970s	Electricity	None	1	0	0	0	0	0	0
CR03	1980s	Electricity	None	1	0	0	0	0	0	0
CR03	1990s	Electricity	None	1	0	0	0	0	0	0
CR03	2000s	Electricity	None	1	0	0	0	0	0	0
CR03	<1950	Electricity	None	1	0	0	0	0	0	0
CR04	1950s	Electricity	None	1	0	0	0	0	0	0
CR04	1960s	Electricity	None	1	0	0	0	0	0	0
CR04	1970s	Electricity	None	1	0	0	0	0	0	0
CR04	1980s	Electricity	None	1	0	0	0	0	0	0
CR04	1990s	Electricity	None	1	0	0	0	0	0	0
CR04	2000s	Electricity	None	1	0	0	0	0	0	0
CR04	<1950	Electricity	None	1	0	0	0	0	0	0
CR06	1950s	Electricity	None	1	0	0	0	0	0	0
CR06	1960s	Electricity	None	1	0	0	0	0	0	0
CR06	1970s	Electricity	None	1	0	0	0	0	0	0
CR06	1980s	Electricity	None	1	0	0	0	0	0	0
CR06	1990s	Electricity	None	1	0	0	0	0	0	0
CR06	2000s	Electricity	None	1	0	0	0	0	0	0
CR06	<1950	Electricity	None	1	0	0	0	0	0	0
CR07	1950s	Electricity	None	1	0	0	0	0	0	0
CR07	1960s	Electricity	None	1	0	0	0	0	0	0
CR07	1970s	Electricity	None	1	0	0	0	0	0	0
CR07	1980s	Electricity	None	1	0	0	0	0	0	0
