Dependency=Vintage	Dependency=Geometry Wall Type	"Option=Wood Stud, Uninsulated"	"Option=Wood Stud, R-7"	"Option=Wood Stud, R-11"	"Option=Wood Stud, R-15"	"Option=Wood Stud, R-19"	"Option=CMU, 6-in Hollow, Uninsulated"	"Option=CMU, 6-in Hollow, R-7"	"Option=CMU, 6-in Hollow, R-11"	"Option=CMU, 6-in Hollow, R-15"	"Option=CMU, 6-in Hollow, R-19"	"Option=Brick, 8-in, 2-wythe, Uninsulated"	resstock_probability
<1940	WoodStud	1	0	0	0	0	0	0	0	0	0	0	0.102426
1940s	WoodStud	1	0	0	0	0	0	0	0	0	0	0	0.017351
1950s	WoodStud	1	0	0	0	0	0	0	0	0	0	0	0.03554
1960s	WoodStud	1	0	0	0	0	0	0	0	0	0	0	0.033605
1970s	WoodStud	0	1	0	0	0	0	0	0	0	0	0	0.04014
1980s	WoodStud	0.01	0.01	0.82	0	0.16	0	0	0	0	0	0	0.022308
1990s	WoodStud	0.01	0.01	0.82	0	0.16	0	0	0	0	0	0	0.019689
2000s	WoodStud	0.01	0.01	0.82	0	0.16	0	0	0	0	0	0	0.020646
2010s	WoodStud	0.01	0.01	0.82	0	0.16	0	0	0	0	0	0	0.003175
<1940	Masonry	0	0	0	0	0	0	0	0	0	0	1	0.181687
1940s	Masonry	0	0	0	0	0	0	0	0	0	0	1	0.059373
1950s	Masonry	0	0	0	0	0	0	0	0	0	0	1	0.122533
1960s	Masonry	0	0	0	0	0	0	0	0	0	0	1	0.096985
1970s	Masonry	0	0	0	0	0	0	0	0	0	0	1	0.084495
1980s	Masonry	0	0	0	0	0	0.01	0.01	0.82	0	0.16	0	0.049101
1990s	Masonry	0	0	0	0	0	0.01	0.01	0.82	0	0.16	0	0.046745
2000s	Masonry	0	0	0	0	0	0.01	0.01	0.82	0	0.16	0	0.05539
2010s	Masonry	0	0	0	0	0	0.01	0.01	0.82	0	0.16	0	0.008806
