Dependency=Geometry Building Type ACS	Dependency=Geometry Stories	Option=None	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=12	Option=15	Option=16	Option=20	Option=24	Option=30	Option=36	Option=50	Option=60	Option=90	Option=144	Count	Weight	resstock_probability
Single-Family Attached	1	0.000000	0.000000	0.000000	0.000000	0.122416	0.132617	0.061208	0.193826	0.000000	0.065235	0.096644	0.024161	0.055570	0.045369	0.045369	0.045369	0.045369	0.022886	0.017718	0.014765	0.018456	149.000000	1385423.149000	0.025268
Single-Family Attached	2	0.000000	0.000000	0.000000	0.000000	0.122416	0.132617	0.061208	0.193826	0.000000	0.065235	0.096644	0.024161	0.055570	0.045369	0.045369	0.045369	0.045369	0.022886	0.017718	0.014765	0.018456	149.000000	1385423.149000	0.016394
Single-Family Attached	3	0.000000	0.000000	0.000000	0.000000	0.122416	0.132617	0.061208	0.193826	0.000000	0.065235	0.096644	0.024161	0.055570	0.045369	0.045369	0.045369	0.045369	0.022886	0.017718	0.014765	0.018456	149.000000	1385423.149000	0.013225
Single-Family Detached	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.193087
Single-Family Detached	2	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125276
Single-Family Detached	3	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.101055
Mobile Home	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003298
Mobile Home	2	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002140
Mobile Home	3	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001726
50 or more Unit	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.056021
