Dependency=Geometry Building Type RECS	Dependency=Bedrooms	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	sample_count	sample_weight	resstock_probability
Mobile Home	1	0.460477	0.366073	0.101211	0.0	0.0	0.072239	18.0	331607.84375	0.0002748699550826222
Mobile Home	2	0.332989	0.358227	0.157866	0.089675	0.039391	0.021852	114.0	2435742.25	0.0023178550007077825
Mobile Home	3	0.176179	0.376043	0.156513	0.143221	0.06806799999999999	0.079976	132.0	3535822.25	0.0038414732042644536
Mobile Home	4	0.282822	0.073384	0.28885	0.191069	0.078231	0.08564400000000001	19.0	444752.59375	0.0006747902599924326
Mobile Home	5	0.0	0.0	0.0	1.0	0.0	0.0	1.0	16490.482422	5.435817499675234e-05
Multi-Family with 2 - 4 Units	1	0.687956	0.167527	0.06226900000000001	0.023222	0.017176	0.04185	104.0	3197325.75	0.03840066331020683
Multi-Family with 2 - 4 Units	2	0.218211	0.30304200000000003	0.227281	0.142859	0.063445	0.045161	160.0	4696326.0	0.10421338489195128
Multi-Family with 2 - 4 Units	3	0.154363	0.300158	0.229954	0.130356	0.14640899999999998	0.03876	41.0	1366876.75	0.04453431734408834
Multi-Family with 2 - 4 Units	4	0.0	0.0	0.169632	0.566651	0.26371700000000003	0.0	4.0	79932.976562	0.004593506864535541
Multi-Family with 2 - 4 Units	5	0.0	0.0	0.0	0.0	1.0	0.0	1.0	27971.890625	0.001058653114936523
Multi-Family with 5+ Units	1	0.642519	0.294894	0.043532	0.014963999999999996	0.00153	0.002561	376.0	9558276.0	0.14486353585314565
Multi-Family with 5+ Units	2	0.29549699999999995	0.389143	0.171944	0.111739	0.02185	0.009827	372.0	8983525.0	0.14481332382299308
Multi-Family with 5+ Units	3	0.077916	0.243959	0.267747	0.183075	0.185106	0.042197000000000005	68.0	1727888.375	0.03216923579551888
Multi-Family with 5+ Units	4	0.070671	0.359854	0.0	0.457018	0.0	0.112456	15.0	420099.6875	0.0039456679834698645
Multi-Family with 5+ Units	5	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.0	0.0	0.0003097517232497723
Single-Family Attached	1	0.492658	0.391175	0.116167	0.0	0.0	0.0	22.0	349814.84375	0.004152667750026747
Single-Family Attached	2	0.352188	0.359679	0.136668	0.07766100000000001	0.047938	0.025866000000000004	239.0	3162462.0	0.023292417058686763
Single-Family Attached	3	0.227033	0.321762	0.225998	0.138716	0.06095800000000001	0.025532	181.0	2868890.25	0.022857809565156165
Single-Family Attached	4	0.085251	0.249706	0.07914600000000001	0.4425060000000001	0.108223	0.035169	31.0	469788.53125	0.0033638765302697075
Single-Family Attached	5	0.0	0.397303	0.0	0.0	0.471874	0.130823	6.0	159176.34375	0.0008402450474239674
Single-Family Detached	1	0.5585680000000001	0.370728	0.023329	0.014459	0.032916	0.0	62.0	1285962.75	0.007874073539844808
Single-Family Detached	2	0.287898	0.493051	0.116423	0.06821100000000001	0.026513	0.007905	503.0	10307150.0	0.060655064834302094
Single-Family Detached	3	0.17666400000000002	0.404811	0.194431	0.134625	0.059761	0.029708	1855.0	37952952.0	0.20814415418512489
Single-Family Detached	4	0.097311	0.330328	0.184919	0.215754	0.102159	0.06952799999999999	1015.0	19017764.0	0.10970225250829227
Single-Family Detached	5	0.06228	0.223852	0.17319	0.23676	0.135419	0.1685	303.0	5115529.5	0.033046136775217214
