Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None
<1940	None	No	1
<1940	None	Yes	1
<1940	Other Fuel	No	1
<1940	Other Fuel	Yes	1
<1940	Electricity	No	1
<1940	Electricity	Yes	1
<1940	Fuel Oil	No	1
<1940	Fuel Oil	Yes	1
<1940	Natural Gas	No	1
<1940	Natural Gas	Yes	1
<1940	Propane	No	1
<1940	Propane	Yes	1
1940s	None	No	1
1940s	None	Yes	1
1940s	Other Fuel	No	1
1940s	Other Fuel	Yes	1
1940s	Electricity	No	1
1940s	Electricity	Yes	1
1940s	Fuel Oil	No	1
1940s	Fuel Oil	Yes	1
1940s	Natural Gas	No	1
1940s	Natural Gas	Yes	1
1940s	Propane	No	1
1940s	Propane	Yes	1
1950s	None	No	1
1950s	None	Yes	1
1950s	Other Fuel	No	1
1950s	Other Fuel	Yes	1
1950s	Electricity	No	1
1950s	Electricity	Yes	1
1950s	Fuel Oil	No	1
1950s	Fuel Oil	Yes	1
1950s	Natural Gas	No	1
1950s	Natural Gas	Yes	1
1950s	Propane	No	1
1950s	Propane	Yes	1
1960s	None	No	1
1960s	None	Yes	1
1960s	Other Fuel	No	1
1960s	Other Fuel	Yes	1
1960s	Electricity	No	1
1960s	Electricity	Yes	1
1960s	Fuel Oil	No	1
1960s	Fuel Oil	Yes	1
1960s	Natural Gas	No	1
1960s	Natural Gas	Yes	1
1960s	Propane	No	1
1960s	Propane	Yes	1
1970s	None	No	1
1970s	None	Yes	1
1970s	Other Fuel	No	1
1970s	Other Fuel	Yes	1
1970s	Electricity	No	1
1970s	Electricity	Yes	1
1970s	Fuel Oil	No	1
1970s	Fuel Oil	Yes	1
1970s	Natural Gas	No	1
1970s	Natural Gas	Yes	1
1970s	Propane	No	1
1970s	Propane	Yes	1
1980s	None	No	1
1980s	None	Yes	1
1980s	Other Fuel	No	1
1980s	Other Fuel	Yes	1
1980s	Electricity	No	1
1980s	Electricity	Yes	1
1980s	Fuel Oil	No	1
1980s	Fuel Oil	Yes	1
1980s	Natural Gas	No	1
1980s	Natural Gas	Yes	1
1980s	Propane	No	1
1980s	Propane	Yes	1
1990s	None	No	1
1990s	None	Yes	1
1990s	Other Fuel	No	1
1990s	Other Fuel	Yes	1
1990s	Electricity	No	1
1990s	Electricity	Yes	1
1990s	Fuel Oil	No	1
1990s	Fuel Oil	Yes	1
1990s	Natural Gas	No	1
1990s	Natural Gas	Yes	1
1990s	Propane	No	1
1990s	Propane	Yes	1
2000s	None	No	1
2000s	None	Yes	1
2000s	Other Fuel	No	1
2000s	Other Fuel	Yes	1
2000s	Electricity	No	1
2000s	Electricity	Yes	1
2000s	Fuel Oil	No	1
2000s	Fuel Oil	Yes	1
2000s	Natural Gas	No	1
2000s	Natural Gas	Yes	1
2000s	Propane	No	1
2000s	Propane	Yes	1
2010s	None	No	1
2010s	None	Yes	1
2010s	Other Fuel	No	1
2010s	Other Fuel	Yes	1
2010s	Electricity	No	1
2010s	Electricity	Yes	1
2010s	Fuel Oil	No	1
2010s	Fuel Oil	Yes	1
2010s	Natural Gas	No	1
2010s	Natural Gas	Yes	1
2010s	Propane	No	1
2010s	Propane	Yes	1
#Manually downselected to CR04			
