Dependency=Heating Fuel	Dependency=Usage Level	Option=Gas, 80% Usage	Option=Gas, 100% Usage	Option=Gas, 120% Usage	Option=Propane, 80% Usage	Option=Propane, 100% Usage	Option=Propane, 120% Usage	Option=Electric, 80% Usage	Option=Electric, 100% Usage	Option=Electric, 120% Usage	Option=None
Electricity	Average	0.000000	0.110000	0.000000	0.000000	0.020000	0.000000	0.000000	0.850000	0.000000	0.010000
Fuel Oil	Average	0.000000	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000	0.000000
Natural Gas	Average	0.000000	0.550000	0.000000	0.000000	0.000000	0.000000	0.000000	0.440000	0.000000	0.010000
None	Average	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Other Fuel	Average	0.000000	0.000000	0.000000	0.000000	0.230000	0.000000	0.000000	0.770000	0.000000	0.000000
Propane	Average	0.000000	0.030000	0.000000	0.000000	0.400000	0.000000	0.000000	0.570000	0.000000	0.000000
Electricity	High	0.000000	0.000000	0.110000	0.000000	0.000000	0.020000	0.000000	0.000000	0.850000	0.010000
Fuel Oil	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Natural Gas	High	0.000000	0.000000	0.550000	0.000000	0.000000	0.000000	0.000000	0.000000	0.440000	0.010000
None	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Other Fuel	High	0.000000	0.000000	0.000000	0.000000	0.000000	0.230000	0.000000	0.000000	0.770000	0.000000
Propane	High	0.000000	0.000000	0.030000	0.000000	0.000000	0.400000	0.000000	0.000000	0.570000	0.000000
Electricity	Low	0.110000	0.000000	0.000000	0.020000	0.000000	0.000000	0.850000	0.000000	0.000000	0.010000
Fuel Oil	Low	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000	0.000000	0.000000
Natural Gas	Low	0.550000	0.000000	0.000000	0.000000	0.000000	0.000000	0.440000	0.000000	0.000000	0.010000
None	Low	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Other Fuel	Low	0.000000	0.000000	0.000000	0.230000	0.000000	0.000000	0.770000	0.000000	0.000000	0.000000
Propane	Low	0.030000	0.000000	0.000000	0.400000	0.000000	0.000000	0.570000	0.000000	0.000000	0.000000
Electricity	Medium	0.000000	0.110000	0.000000	0.000000	0.020000	0.000000	0.000000	0.850000	0.000000	0.010000
Fuel Oil	Medium	0.000000	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000	0.000000
Natural Gas	Medium	0.000000	0.550000	0.000000	0.000000	0.000000	0.000000	0.000000	0.440000	0.000000	0.010000
None	Medium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Other Fuel	Medium	0.000000	0.000000	0.000000	0.000000	0.230000	0.000000	0.000000	0.770000	0.000000	0.000000
Propane	Medium	0.000000	0.030000	0.000000	0.000000	0.400000	0.000000	0.000000	0.570000	0.000000	0.000000
