Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=HVAC Heating Type	Dependency=HVAC Secondary Heating Type	Option=No	Option=Yes	Option=Void	sampling_probability
Central AC	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Central AC	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Central AC	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0
Central AC	None	Ducted Heat Pump	Ducted Heating	0	0	1	0
Ducted Heat Pump	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Ducted Heat Pump	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0
Ducted Heat Pump	None	Ducted Heat Pump	Ducted Heating	0	1	0	0.00170068
Evaporative or Swamp Cooler	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Evaporative or Swamp Cooler	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Evaporative or Swamp Cooler	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0
Evaporative or Swamp Cooler	None	Ducted Heat Pump	Ducted Heating	0	0	1	0
Non-Ducted Heat Pump	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Non-Ducted Heat Pump	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Non-Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0
Non-Ducted Heat Pump	None	Ducted Heat Pump	Ducted Heating	0	0	1	0
None	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
None	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
None	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0
None	None	Ducted Heat Pump	Ducted Heating	0	0	1	0
Room AC	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Room AC	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0
Room AC	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0
Room AC	None	Ducted Heat Pump	Ducted Heating	0	0	1	0
Central AC	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
Central AC	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
Central AC	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
Central AC	None	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
Ducted Heat Pump	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
Ducted Heat Pump	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
Ducted Heat Pump	None	Ducted Heat Pump	Non-Ducted Heating	0	1	0	0.00272109
Evaporative or Swamp Cooler	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0
