Dependency=HVAC Heating Type And Fuel	Option=None	Option=Electricity Baseboard	Option=Electricity Portable Heater	Option=Natural Gas Fireplace	sampling_probability
None	1	0	0	0	0.333334
Void	1	0	0	0	0
Electricity ASHP	1	0	0	0	0.0254629
Electricity Baseboard	1	0	0	0	0.00848767
Electricity Electric Boiler	1	0	0	0	0.00848767
Electricity Electric Furnace	1	0	0	0	0.025463
Electricity Electric Wall Furnace	1	0	0	0	0.00848767
Electricity MSHP	1	0	0	0	0.025463
Electricity Shared Heating	1	0	0	0	0.064815
Fuel Oil Fuel Boiler	1	0	0	0	0.0305556
Fuel Oil Fuel Furnace	1	0	0	0	0.050926
Fuel Oil Fuel Wall/Floor Furnace	1	0	0	0	0.0203704
Fuel Oil Shared Heating	1	0	0	0	0.0648149
Natural Gas Fuel Boiler	1	0	0	0	0.0305556
Natural Gas Fuel Furnace	1	0	0	0	0.050926
Natural Gas Fuel Wall/Floor Furnace	1	0	0	0	0.0203704
Natural Gas Shared Heating	1	0	0	0	0.0648149
Other Fuel Fuel Boiler	1	0	0	0	0
Other Fuel Fuel Furnace	1	0	0	0	0
Other Fuel Fuel Wall/Floor Furnace	1	0	0	0	0
Other Fuel Shared Heating	1	0	0	0	0
Propane Fuel Boiler	1	0	0	0	0.0305556
Propane Fuel Furnace	1	0	0	0	0.050926
Propane Fuel Wall/Floor Furnace	1	0	0	0	0.0203704
Propane Shared Heating	1	0	0	0	0.0648149
