Dependency=Water Heater	Option=WH Tank True	Option=WH Tank False	Option=WH Tankless True	Option=WH Tankless False	Option=WH HP True	Option=WH HP False
Electric Benchmark	0	1	0	0	0	0
Electric Standard	0	1	0	0	0	0
Electric Premium	0	1	0	0	0	0
Gas Benchmark	0	1	0	0	0	0
Gas Standard	0	1	0	0	0	0
Gas Premium	0	1	0	0	0	0
"Gas Premium, Condensing"	0	1	0	0	0	0
Oil Standard	0	1	0	0	0	0
Oil Premium	0	1	0	0	0	0
FIXME Oil Indirect	0	1	0	0	0	0
Propane Standard	0	1	0	0	0	0
Propane Premium	0	1	0	0	0	0
"Propane Premium, Condensing"	0	1	0	0	0	0
FIXME Other Fuel	0	1	0	0	0	0
Gas Tankless	0	0	0	1	0	0
"Gas Tankless, Condensing"	0	0	0	1	0	0
Electric Tankless	0	0	0	1	0	0
Propane Tankless	0	0	0	1	0	0
"Electric Heat Pump, 50 gal"	0	0	0	0	0	1
"Electric Heat Pump, 50 gal, 140F"	0	0	0	0	0	1
"Electric Heat Pump, 50 gal, In Confined Space"	0	0	0	0	0	1
"Electric Heat Pump, 80 gal"	0	0	0	0	0	1
